kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 1980896 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2198656 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 2962208 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2735552 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 1978848 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1695040 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2160800 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 2949376 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 1935872 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 1910496 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2827744 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 15438464 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2926464 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 13580640 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 2942976 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1676160 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 1958528 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 970945632 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 947391424 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9542784 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10628032 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10653408 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10664064 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8524320 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 4836832 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1611520 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 16165664 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2915136 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2918592 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2147424 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1223552 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 414048 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4267328 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5416480 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3037344 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1514790 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1365658 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1569825 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2238423 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2352785 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2848284 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2966495 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2304929 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1575890 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2907880 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2246793 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 6693704 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 5343280 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 2978673 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 6267949 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 2982487 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 2985746 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 204864 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 3035252 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 236064 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2268799 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 5478560 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 456608 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 278016 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 227456 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 5042336 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 224960 0 0 0 0 0 0 0 
_1.ptx 170 : 655360 4413248 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 280224 0 0 0 0 0 0 0 
_1.ptx 171 : 655360 5557632 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 231776 0 0 0 0 0 0 0 
_1.ptx 172 : 655360 3987680 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 229824 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 463198 0 0 0 0 0 0 256 
_1.ptx 76 : 32768 280352 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 218688 0 0 0 0 0 0 0 
_1.ptx 175 : 256 10105 0 256 256 0 0 0 0 
_1.ptx 78 : 32768 215136 0 0 0 0 0 0 0 
_1.ptx 176 : 256 7210 0 0 0 0 0 0 0 
_1.ptx 177 : 256 1903 0 0 0 0 0 0 0 
_1.ptx 178 : 256 2668 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 179 : 256 2895 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 1325824 0 0 0 0 0 0 0 
_1.ptx 180 : 256 9729 480 0 0 256 256 0 0 
_1.ptx 83 : 65536 552736 0 0 0 0 0 0 0 
_1.ptx 84 : 65536 770880 0 0 0 0 0 0 0 
_1.ptx 182 : 65536 746752 0 0 0 0 0 0 0 
_1.ptx 85 : 65536 548608 0 0 0 0 0 0 0 
_1.ptx 183 : 65536 547808 0 0 0 0 0 0 0 
_1.ptx 86 : 65536 511520 0 0 0 0 0 0 0 
_1.ptx 184 : 65536 212672 0 0 0 0 0 0 0 
_1.ptx 87 : 65536 548704 0 0 0 0 0 0 0 
_1.ptx 88 : 65536 773216 0 0 0 0 0 0 0 
_1.ptx 89 : 65536 735968 0 0 0 0 0 0 0 
_1.ptx 187 : 32768 215744 0 0 0 0 0 0 0 
_1.ptx 90 : 65536 993248 0 0 0 0 0 0 0 
_1.ptx 91 : 65536 1031936 0 0 0 0 0 0 0 
_1.ptx 92 : 65536 794336 0 0 0 0 0 0 0 
_1.ptx 96 : 262144 1989888 0 0 0 0 0 0 0 
