kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68518 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68518 10011079 0 0 0 0 0 0 0 
_1.ptx 99 : 68518 483932 0 0 0 0 0 0 0 
_1.ptx 100 : 68518 692924 0 0 0 0 0 0 0 
_1.ptx 101 : 68518 756110 0 0 0 0 0 0 0 
_1.ptx 105 : 413916 275471569 3727360 0 0 204024 57959 0 0 
_1.ptx 106 : 413916 2904903 0 0 0 0 0 0 0 
_1.ptx 107 : 413916 4557709 0 0 0 0 0 0 0 
_1.ptx 108 : 413916 293654067 68608 0 0 412512 57959 0 0 
_1.ptx 109 : 413916 2491053 0 0 0 0 0 0 0 
_1.ptx 110 : 413916 3315331 0 0 0 0 0 0 0 
_1.ptx 111 : 413916 1403144 0 0 0 0 0 0 26669 
_1.ptx 113 : 180360 19129881 0 0 0 0 0 0 0 
_1.ptx 114 : 180360 1819805 0 0 0 0 0 0 0 
_1.ptx 115 : 180360 1988643 0 0 0 0 0 0 0 
_1.ptx 116 : 180360 84776568 55424 0 0 39905 39905 0 0 
_1.ptx 117 : 180360 1807200 0 0 0 0 0 0 0 
_1.ptx 118 : 180360 1810680 0 0 0 0 0 0 0 
_1.ptx 119 : 180360 1986449 0 0 0 0 0 0 0 
_1.ptx 120 : 180360 31018668 217344 0 0 180010 39905 0 0 
_1.ptx 122 : 180360 1085157 0 0 0 0 0 0 0 
_1.ptx 123 : 180360 1988914 0 0 0 0 0 0 0 
_1.ptx 124 : 180360 36559966 11808 0 0 180010 39905 0 0 
_1.ptx 126 : 180360 1085088 0 0 0 0 0 0 0 
_1.ptx 127 : 180360 28286125 0 0 0 0 0 0 0 
_1.ptx 128 : 180360 20403027 32 0 0 39905 39905 0 0 
_1.ptx 129 : 180360 92413878 90496 0 0 62659 39905 0 0 
_1.ptx 130 : 180360 80137383 128 0 0 62659 39905 0 0 
_1.ptx 131 : 180360 1987266 0 0 0 0 0 0 0 
_1.ptx 134 : 413916 4146685 0 0 0 0 0 0 0 
_1.ptx 135 : 413916 4153107 0 0 0 0 0 0 0 
_1.ptx 136 : 413916 3319872 0 0 0 0 0 0 0 
_1.ptx 137 : 413916 2075105 0 0 0 0 0 0 25880 
_1.ptx 141 : 589824 3704768 0 0 0 0 0 0 0 
_1.ptx 66 : 589824 3724768 0 0 0 0 0 0 0 
_1.ptx 67 : 589824 8840800 0 0 0 0 0 0 0 
_1.ptx 68 : 589824 4149664 0 0 0 0 0 0 0 
_1.ptx 69 : 589824 6945408 0 0 0 0 0 0 0 
_1.ptx 70 : 589824 12788512 128 0 0 0 0 0 0 
_1.ptx 71 : 589824 4862016 0 0 0 0 0 0 0 
_1.ptx 72 : 589824 0 0 0 0 0 0 0 0 
_1.ptx 73 : 589824 4589056 0 0 0 0 0 0 0 
_1.ptx 74 : 589824 9095520 0 0 0 0 0 0 0 
_1.ptx 75 : 589824 6565952 0 0 0 0 0 0 0 
_1.ptx 76 : 589824 146167648 109568 0 0 18432 18432 0 0 
_1.ptx 77 : 589824 3637312 0 0 0 0 0 0 0 
_1.ptx 78 : 589824 4880672 0 0 0 0 0 0 0 
_1.ptx 79 : 589824 3375176 0 0 0 0 0 0 6238 
_1.ptx 81 : 68518 419625 0 0 0 0 0 0 0 
_1.ptx 82 : 68518 5354288 32 0 0 6239 6239 0 0 
_1.ptx 84 : 68518 4405911 0 0 0 0 0 0 0 
_1.ptx 85 : 68518 416497 0 0 0 0 0 0 0 
_1.ptx 86 : 68518 758384 0 0 0 0 0 0 0 
_1.ptx 87 : 68518 6253348 64 0 0 6239 6239 0 0 
_1.ptx 89 : 68518 5392527 0 0 0 0 0 0 0 
_1.ptx 90 : 68518 692815 0 0 0 0 0 0 0 
_1.ptx 91 : 68518 759056 0 0 0 0 0 0 0 
_1.ptx 92 : 68518 54547657 1387776 0 0 10969 6239 0 0 
_1.ptx 93 : 68518 480992 0 0 0 0 0 0 0 
_1.ptx 94 : 68518 19043834 7168 0 0 10969 6239 0 0 
_1.ptx 95 : 68518 755677 0 0 0 0 0 0 0 
_1.ptx 96 : 68518 551029 0 0 0 0 0 0 0 
