kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 399968 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 381696 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 387328 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 981696 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 377344 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 695488 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 472736 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 10813600 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 523328 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 7489600 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 411360 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 707520 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 426752 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 895776 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 464992 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 896224 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 453536 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 8137952 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 570112 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 6765888 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 692288 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 953504 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 7378048 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 696192 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 6852512 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 695872 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 7563264 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 693344 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 7553536 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 692736 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 4512125728 8000000 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 4492791968 8000000 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 4495143136 8000000 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 22158240 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 109993312 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 33353536 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 14332960 0 0 0 0 0 0 0 
_1.ptx 108 : 2000000 33094208 0 0 0 0 0 0 0 
_1.ptx 109 : 2000000 22241664 0 0 0 0 0 0 0 
_1.ptx 110 : 2000000 12135776 0 0 0 0 0 0 0 
_1.ptx 111 : 2000000 22223072 0 0 0 0 0 0 0 
_1.ptx 112 : 2000000 12172384 0 0 0 0 0 0 0 
_1.ptx 113 : 2000000 22218048 0 0 0 0 0 0 0 
_1.ptx 114 : 2000000 33222560 0 0 0 0 0 0 0 
_1.ptx 115 : 2000000 18156640 0 0 0 0 0 0 0 
_1.ptx 116 : 2000000 22191328 0 0 0 0 0 0 0 
_1.ptx 117 : 2000000 96959808 0 0 0 0 0 0 0 
_1.ptx 118 : 2000000 22165088 0 0 0 0 0 0 0 
_1.ptx 119 : 2000000 22166912 0 0 0 0 0 0 0 
_1.ptx 120 : 2000000 12155008 0 0 0 0 0 0 0 
_1.ptx 121 : 2000000 16208320 0 0 0 0 0 0 0 
_1.ptx 122 : 2000000 12208096 0 0 0 0 0 0 0 
_1.ptx 123 : 2000000 22177664 0 0 0 0 0 0 0 
_1.ptx 124 : 2000000 15716928 0 0 0 0 0 0 0 
_1.ptx 125 : 2000000 12561696 0 0 0 0 0 0 0 
_1.ptx 126 : 2000000 16236576 0 0 0 0 0 0 0 
_1.ptx 127 : 2000000 12428608 0 0 0 0 0 0 0 
_1.ptx 128 : 2000000 22140448 0 0 0 0 0 0 0 
_1.ptx 129 : 2000000 14323840 0 0 0 0 0 0 0 
_1.ptx 130 : 2000000 22294496 0 0 0 0 0 0 0 
_1.ptx 131 : 2000000 12490624 0 0 0 0 0 0 0 
_1.ptx 132 : 2000000 12503104 0 0 0 0 0 0 0 
_1.ptx 133 : 2000000 19207136 0 0 0 0 0 0 0 
_1.ptx 134 : 2000000 22668736 0 0 0 0 0 0 0 
_1.ptx 135 : 2000000 12891776 0 0 0 0 0 0 0 
_1.ptx 136 : 2000000 12885632 0 0 0 0 0 0 0 
_1.ptx 137 : 2000000 18137888 0 0 0 0 0 0 0 
_1.ptx 138 : 2000000 12145760 0 0 0 0 0 0 0 
_1.ptx 139 : 2000000 22164064 0 0 0 0 0 0 0 
_1.ptx 140 : 2000000 33612800 0 0 0 0 0 0 0 
_1.ptx 141 : 2000000 12214240 0 0 0 0 0 0 0 
_1.ptx 142 : 2000000 22180032 0 0 0 0 0 0 0 
_1.ptx 143 : 2000000 39308384 0 0 0 0 0 0 0 
_1.ptx 144 : 2000000 48186624 0 0 0 0 0 0 0 
_1.ptx 145 : 2000000 12298304 0 0 0 0 0 0 0 
_1.ptx 146 : 2000000 12335904 0 0 0 0 0 0 0 
_1.ptx 147 : 2000000 18199712 0 0 0 0 0 0 0 
_1.ptx 148 : 2000000 49829216 0 0 0 0 0 0 0 
_1.ptx 149 : 2000000 12468800 0 0 0 0 0 0 0 
_1.ptx 150 : 2000000 12426496 0 0 0 0 0 0 0 
_1.ptx 151 : 2000000 18183232 0 0 0 0 0 0 0 
_1.ptx 152 : 2000000 12192096 0 0 0 0 0 0 0 
_1.ptx 153 : 2000000 22207616 0 0 0 0 0 0 0 
_1.ptx 154 : 2000000 12186496 0 0 0 0 0 0 0 
_1.ptx 155 : 2000000 18143072 0 0 0 0 0 0 0 
_1.ptx 156 : 2000000 12157280 0 0 0 0 0 0 0 
_1.ptx 157 : 2000000 22236640 0 0 0 0 0 0 0 
_1.ptx 158 : 2000000 12170304 0 0 0 0 0 0 0 
_1.ptx 159 : 2000000 18133312 0 0 0 0 0 0 0 
_1.ptx 160 : 2000000 12154400 0 0 0 0 0 0 0 
_1.ptx 161 : 2000000 18135040 0 0 0 0 0 0 0 
_1.ptx 162 : 2000000 12170784 0 0 0 0 0 0 0 
_1.ptx 163 : 2000000 18176288 0 0 0 0 0 0 0 
_1.ptx 164 : 2000000 12160256 0 0 0 0 0 0 0 
_1.ptx 165 : 2000000 18128224 0 0 0 0 0 0 0 
_1.ptx 166 : 2000000 12160032 0 0 0 0 0 0 0 
_1.ptx 167 : 2000000 18157632 0 0 0 0 0 0 0 
_1.ptx 168 : 2000000 22288800 0 0 0 0 0 0 0 
_1.ptx 169 : 2000000 22226432 0 0 0 0 0 0 0 
_1.ptx 170 : 2000000 22214752 0 0 0 0 0 0 0 
_1.ptx 171 : 2000000 22254784 0 0 0 0 0 0 0 
_1.ptx 172 : 2000000 12181600 0 0 0 0 0 0 0 
_1.ptx 173 : 2000000 22186432 0 0 0 0 0 0 0 
_1.ptx 174 : 2000000 12187776 0 0 0 0 0 0 0 
_1.ptx 175 : 2000000 22154496 0 0 0 0 0 0 0 
_1.ptx 176 : 2000000 18183808 0 0 0 0 0 0 0 
_1.ptx 177 : 2000000 18144480 0 0 0 0 0 0 0 
_1.ptx 178 : 2000000 22196160 0 0 0 0 0 0 0 
_1.ptx 179 : 2000000 22220320 0 0 0 0 0 0 0 
_1.ptx 180 : 2000000 22155328 0 0 0 0 0 0 0 
_1.ptx 181 : 2000000 334200160 8000000 0 0 62500 62500 0 0 
_1.ptx 182 : 2000000 12454432 0 0 0 0 0 0 0 
_1.ptx 183 : 2000000 22449248 0 0 0 0 0 0 0 
_1.ptx 184 : 2000000 22573120 0 0 0 0 0 0 0 
_1.ptx 185 : 2000000 12833024 0 0 0 0 0 0 0 
_1.ptx 186 : 2000000 22325376 0 0 0 0 0 0 0 
_1.ptx 187 : 2000000 22294272 0 0 0 0 0 0 0 
_1.ptx 188 : 2000000 22228480 0 0 0 0 0 0 0 
_1.ptx 189 : 2000000 382574720 8000000 0 0 62500 62500 0 0 
_1.ptx 190 : 2000000 22304864 0 0 0 0 0 0 0 
_1.ptx 191 : 2000000 22435808 0 0 0 0 0 0 0 
_1.ptx 192 : 2000000 22622048 0 0 0 0 0 0 0 
_1.ptx 193 : 2000000 22816448 0 0 0 0 0 0 0 
_1.ptx 194 : 2000000 23268896 0 0 0 0 0 0 0 
_1.ptx 195 : 2000000 23067904 0 0 0 0 0 0 0 
_1.ptx 196 : 2000000 17274688 0 0 0 0 0 0 0 
_1.ptx 197 : 2000000 12353248 0 0 0 0 0 0 0 
