kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3065530 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 587580 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 618102 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5568642 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5608299 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3791909 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4467011 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2654220 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 908667 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1103145 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1027703 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 896097 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1101288 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1008916 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1101502 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 894845 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1094604 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 443911 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 686433 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 517653 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 494349 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 791421 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 719422 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 308945 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 309507 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 303167 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 306292 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 295658 128 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 302815 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 300641 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 704884 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 709286 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 709572 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 720066 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 728781 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 720174 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 337428 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 438728 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 536150 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 130005 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 311538 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 306757 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 307969 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 297904 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 66138 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 220160 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 220684 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 223748 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 226185 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 233118 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 183891 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 183852 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 617841 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 242500 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 243731 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 242634 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 730383 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 727228 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 741327 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 758630 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 612489 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 603327 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 1956916 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 729261 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 731251 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 733153 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 716252 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 597525 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 597074 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 426284 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 538195 0 0 0 0 0 0 0 
_1.ptx 903 : 62282 430840 0 0 0 0 0 0 0 
_1.ptx 910 : 62282 485223 0 0 0 0 0 0 0 
_1.ptx 911 : 62282 489729 0 0 0 0 0 0 0 
_1.ptx 912 : 62282 501269 0 0 0 0 0 0 0 
_1.ptx 915 : 62282 446764 0 0 0 0 0 0 0 
_1.ptx 916 : 62282 723294 0 0 0 0 0 0 0 
_1.ptx 917 : 62282 488959 0 0 0 0 0 0 0 
_1.ptx 918 : 62282 1000662 0 0 0 0 0 0 0 
_1.ptx 919 : 62282 710747 0 0 0 0 0 0 0 
_1.ptx 920 : 62282 551515 23680 0 0 0 0 0 0 
_1.ptx 921 : 62282 414369 0 0 0 0 0 0 0 
_1.ptx 922 : 62282 712935 0 0 0 0 0 0 0 
_1.ptx 923 : 62282 741020 49792 0 0 0 0 0 0 
_1.ptx 924 : 62282 409646 0 0 0 0 0 0 0 
_1.ptx 925 : 62282 712088 0 0 0 0 0 0 0 
_1.ptx 926 : 62282 945464 26688 0 0 0 0 0 0 
_1.ptx 927 : 62282 407357 0 0 0 0 0 0 0 
_1.ptx 928 : 62282 713164 0 0 0 0 0 0 0 
_1.ptx 929 : 62282 1015646 17024 0 0 0 0 0 0 
_1.ptx 931 : 62282 409021 0 0 0 0 0 0 0 
_1.ptx 932 : 62282 712295 0 0 0 0 0 0 0 
_1.ptx 933 : 62282 418116 0 0 0 0 0 0 0 
_1.ptx 934 : 62282 709935 0 0 0 0 0 0 0 
_1.ptx 935 : 62282 414430 0 0 0 0 0 0 0 
_1.ptx 936 : 62282 722187 0 0 0 0 0 0 0 
_1.ptx 937 : 62282 753831 0 0 0 0 0 0 0 
_1.ptx 938 : 62282 606279 0 0 0 0 0 0 0 
_1.ptx 939 : 62282 595310 0 0 0 0 0 0 0 
_1.ptx 940 : 62282 2332672 0 0 0 0 0 0 0 
_1.ptx 941 : 62282 758242 0 0 0 0 0 0 0 
_1.ptx 942 : 62282 761211 0 0 0 0 0 0 0 
_1.ptx 943 : 62282 788452 0 0 0 0 0 0 0 
_1.ptx 944 : 62282 774238 0 0 0 0 0 0 0 
_1.ptx 945 : 62282 602131 0 0 0 0 0 0 0 
_1.ptx 946 : 62282 602673 0 0 0 0 0 0 0 
_1.ptx 947 : 62282 438178 0 0 0 0 0 0 0 
_1.ptx 948 : 62282 544266 0 0 0 0 0 0 0 
_1.ptx 949 : 62282 37033 0 0 0 0 0 0 318 
_1.ptx 951 : 56815 447419 0 0 0 0 0 0 0 
_1.ptx 952 : 56815 359208 0 0 0 0 0 0 0 
_1.ptx 955 : 220903 1014283 256 0 0 8579 8579 0 0 
_1.ptx 956 : 220903 1019724 128 0 0 8579 8579 0 0 
_1.ptx 957 : 220903 995192 0 0 0 8579 8579 0 0 
_1.ptx 958 : 220903 1002394 0 0 0 8579 8579 0 0 
_1.ptx 959 : 220903 1472293 0 0 0 0 0 0 0 
_1.ptx 960 : 220903 1888484 0 0 0 0 0 0 0 
_1.ptx 961 : 220903 1139862 0 0 0 0 0 0 0 
_1.ptx 963 : 56815 436029 0 0 0 0 0 0 0 
_1.ptx 964 : 56815 381518 0 0 0 0 0 0 0 
_1.ptx 965 : 56815 480015 0 0 0 0 0 0 0 
_1.ptx 966 : 56815 374235 0 0 0 0 0 0 0 
_1.ptx 971 : 56815 366158 0 0 0 0 0 0 0 
_1.ptx 972 : 56815 527753 0 0 0 0 0 0 0 
_1.ptx 973 : 56815 641295 0 0 0 0 0 0 0 
_1.ptx 974 : 56815 3346039 0 0 0 0 0 0 0 
_1.ptx 976 : 56815 372493 0 0 0 0 0 0 0 
_1.ptx 977 : 56815 376929 0 0 0 0 0 0 0 
_1.ptx 978 : 56815 488739 0 0 0 0 0 0 0 
_1.ptx 979 : 56815 529017 0 0 0 0 0 0 0 
_1.ptx 982 : 56815 435476 0 0 0 0 0 0 0 
_1.ptx 983 : 56815 383036 0 0 0 0 0 0 0 
_1.ptx 986 : 164088 752421 0 0 0 6402 6402 0 0 
_1.ptx 987 : 164088 622214 0 0 0 0 0 0 0 
_1.ptx 988 : 164088 1938480 0 0 0 0 0 0 0 
_1.ptx 989 : 164088 1149889 0 0 0 0 0 0 0 
_1.ptx 990 : 164088 1948786 0 0 0 0 0 0 0 
_1.ptx 991 : 164088 1181221 0 0 0 0 0 0 0 
_1.ptx 992 : 164088 1952403 0 0 0 0 0 0 0 
_1.ptx 993 : 164088 1211605 0 0 0 0 0 0 0 
_1.ptx 994 : 164088 1959274 0 0 0 0 0 0 0 
_1.ptx 995 : 164088 1951503 0 0 0 0 0 0 0 
_1.ptx 996 : 164088 1986941 0 0 0 0 0 0 0 
_1.ptx 997 : 164088 1979908 0 0 0 0 0 0 0 
_1.ptx 998 : 164088 1990064 0 0 0 0 0 0 0 
_1.ptx 999 : 164088 1984050 0 0 0 0 0 0 0 
_1.ptx 1000 : 164088 1999344 0 0 0 0 0 0 0 
_1.ptx 1001 : 164088 2010776 0 0 0 0 0 0 0 
_1.ptx 1002 : 164088 1669770 0 0 0 0 0 0 0 
_1.ptx 1003 : 164088 1660147 0 0 0 0 0 0 0 
_1.ptx 1004 : 164088 1992332 0 0 0 0 0 0 0 
_1.ptx 1005 : 164088 1639993 0 0 0 0 0 0 0 
_1.ptx 1006 : 164088 1644800 0 0 0 0 0 0 0 
_1.ptx 1007 : 164088 2005070 0 0 0 0 0 0 0 
_1.ptx 1008 : 164088 1504352 0 0 0 0 0 0 0 
_1.ptx 1009 : 164088 1395274 0 0 0 0 0 0 0 
_1.ptx 1010 : 164088 1181421 0 0 0 0 0 0 0 
_1.ptx 1011 : 164088 1457957 0 0 0 0 0 0 0 
_1.ptx 1012 : 164088 1359085 0 0 0 0 0 0 0 
_1.ptx 1013 : 164088 1469098 0 0 0 0 0 0 0 
_1.ptx 1014 : 164088 1204866 0 0 0 0 0 0 0 
_1.ptx 1015 : 164088 1459425 0 0 0 0 0 0 0 
_1.ptx 1016 : 164088 825848 0 0 0 0 0 0 965 
_1.ptx 1017 : 50431 370673 0 0 0 0 0 0 0 
_1.ptx 1018 : 50431 367112 0 0 0 0 0 0 0 
