kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 113232736 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 28563808 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1266400 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1269344 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13092512 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 31101952 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 40673472 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 46303520 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 21090624 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 29476352 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1296640 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1298016 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3206304 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1296096 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2392896 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 85579680 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1749792 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 67712 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 73340224 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1294944 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1668608 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1478848 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2293696 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1460800 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2272416 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1447808 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2300800 0 0 0 0 0 0 0 
