kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 416064 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 399808 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 408352 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 1210720 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 388672 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 705472 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 485952 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 7988064 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 534976 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 4230528 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 427744 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 750560 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 439552 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 1236000 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 472928 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 1223936 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 464672 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 4402912 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 577952 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 3566336 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 702368 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 1258272 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 3974016 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 703136 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 3710560 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 706624 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 3854336 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 704352 0 0 0 0 0 0 0 
