kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68718 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68718 12500267 0 0 0 0 0 0 0 
_1.ptx 99 : 68718 484975 0 0 0 0 0 0 0 
_1.ptx 100 : 68718 694215 0 0 0 0 0 0 0 
_1.ptx 101 : 68718 758452 0 0 0 0 0 0 0 
_1.ptx 105 : 415135 377345969 12337920 0 0 204424 58174 0 0 
_1.ptx 106 : 415135 2911075 0 0 0 0 0 0 0 
_1.ptx 107 : 415135 4569842 0 0 0 0 0 0 0 
_1.ptx 108 : 415135 391101996 1241472 0 0 413745 58174 0 0 
_1.ptx 109 : 415135 2497512 0 0 0 0 0 0 0 
_1.ptx 110 : 415135 3323848 0 0 0 0 0 0 0 
_1.ptx 111 : 415135 1404961 0 0 0 0 0 0 26808 
_1.ptx 113 : 181149 28758663 0 0 0 0 0 0 0 
_1.ptx 114 : 181149 1825636 0 0 0 0 0 0 0 
_1.ptx 115 : 181149 1996637 0 0 0 0 0 0 0 
_1.ptx 116 : 181149 119650921 1563520 0 0 40090 40090 0 0 
_1.ptx 117 : 181149 1814314 0 0 0 0 0 0 0 
_1.ptx 118 : 181149 1818135 0 0 0 0 0 0 0 
_1.ptx 119 : 181149 1994388 0 0 0 0 0 0 0 
_1.ptx 120 : 181149 48066516 2724000 0 0 180780 40090 0 0 
_1.ptx 122 : 181149 1089751 0 0 0 0 0 0 0 
_1.ptx 123 : 181149 1996658 0 0 0 0 0 0 0 
_1.ptx 124 : 181149 57853106 613344 0 0 180780 40090 0 0 
_1.ptx 126 : 181149 1089511 0 0 0 0 0 0 0 
_1.ptx 127 : 181149 44305813 0 0 0 0 0 0 0 
_1.ptx 128 : 181149 30016244 128 0 0 40090 40090 0 0 
_1.ptx 129 : 181149 132436185 3282944 0 0 63025 40090 0 0 
_1.ptx 130 : 181149 113388376 13184 0 0 63025 40090 0 0 
_1.ptx 131 : 181149 1995258 0 0 0 0 0 0 0 
_1.ptx 134 : 415135 4157341 0 0 0 0 0 0 0 
_1.ptx 135 : 415135 4161302 0 0 0 0 0 0 0 
_1.ptx 136 : 415135 3326633 0 0 0 0 0 0 0 
_1.ptx 137 : 415135 2080397 0 0 0 0 0 0 25903 
_1.ptx 141 : 589824 3690944 0 0 0 0 0 0 0 
_1.ptx 66 : 589824 3728160 0 0 0 0 0 0 0 
_1.ptx 67 : 589824 9016192 0 0 0 0 0 0 0 
_1.ptx 68 : 589824 4125600 0 0 0 0 0 0 0 
_1.ptx 69 : 589824 6939776 0 0 0 0 0 0 0 
_1.ptx 70 : 589824 14639520 128 0 0 0 0 0 0 
_1.ptx 71 : 589824 4860864 0 0 0 0 0 0 0 
_1.ptx 72 : 589824 0 0 0 0 0 0 0 0 
_1.ptx 73 : 589824 4581504 0 0 0 0 0 0 0 
_1.ptx 74 : 589824 11039936 0 0 0 0 0 0 0 
_1.ptx 75 : 589824 6562368 0 0 0 0 0 0 0 
_1.ptx 76 : 589824 165364800 155008 0 0 18432 18432 0 0 
_1.ptx 77 : 589824 3628128 0 0 0 0 0 0 0 
_1.ptx 78 : 589824 4873408 0 0 0 0 0 0 0 
_1.ptx 79 : 589824 3351672 0 0 0 0 0 0 6296 
_1.ptx 81 : 68718 420200 0 0 0 0 0 0 0 
_1.ptx 82 : 68718 7692913 6656 0 0 6297 6297 0 0 
_1.ptx 84 : 68718 6541342 0 0 0 0 0 0 0 
_1.ptx 85 : 68718 416577 0 0 0 0 0 0 0 
_1.ptx 86 : 68718 760678 0 0 0 0 0 0 0 
_1.ptx 87 : 68718 8988379 4384 0 0 6297 6297 0 0 
_1.ptx 89 : 68718 7363293 0 0 0 0 0 0 0 
_1.ptx 90 : 68718 693005 0 0 0 0 0 0 0 
_1.ptx 91 : 68718 759963 0 0 0 0 0 0 0 
_1.ptx 92 : 68718 58525290 1409280 0 0 11026 6297 0 0 
_1.ptx 93 : 68718 481985 0 0 0 0 0 0 0 
_1.ptx 94 : 68718 25725421 109312 0 0 11026 6297 0 0 
_1.ptx 95 : 68718 757654 0 0 0 0 0 0 0 
_1.ptx 96 : 68718 552248 0 0 0 0 0 0 0 
