kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 400000 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 392480 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 399648 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 1068032 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 383776 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 698240 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 479392 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 7949312 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 526176 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 4597920 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 416512 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 721632 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 429184 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 1017792 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 467072 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 1009440 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 456224 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 5244064 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 571392 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 4333568 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 695936 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 1057984 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 4834048 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 696576 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 4688928 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 697792 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 4749568 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 696448 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 4482208 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 697152 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 2393425248 8000000 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 2392117920 8000000 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 2401545824 8000000 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 22303936 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 112708000 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 37116768 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 14476128 0 0 0 0 0 0 0 
_1.ptx 108 : 2000000 36431840 0 0 0 0 0 0 0 
_1.ptx 109 : 2000000 22388512 0 0 0 0 0 0 0 
_1.ptx 110 : 2000000 12272704 0 0 0 0 0 0 0 
_1.ptx 111 : 2000000 22378816 0 0 0 0 0 0 0 
_1.ptx 112 : 2000000 12329152 0 0 0 0 0 0 0 
_1.ptx 113 : 2000000 22323328 0 0 0 0 0 0 0 
_1.ptx 114 : 2000000 36701056 0 0 0 0 0 0 0 
_1.ptx 115 : 2000000 18250144 0 0 0 0 0 0 0 
_1.ptx 116 : 2000000 22319040 0 0 0 0 0 0 0 
_1.ptx 117 : 2000000 100332160 0 0 0 0 0 0 0 
_1.ptx 118 : 2000000 22274560 0 0 0 0 0 0 0 
_1.ptx 119 : 2000000 22278048 0 0 0 0 0 0 0 
_1.ptx 120 : 2000000 12275328 0 0 0 0 0 0 0 
_1.ptx 121 : 2000000 16340416 0 0 0 0 0 0 0 
_1.ptx 122 : 2000000 12349632 0 0 0 0 0 0 0 
_1.ptx 123 : 2000000 22304448 0 0 0 0 0 0 0 
_1.ptx 124 : 2000000 15866304 0 0 0 0 0 0 0 
_1.ptx 125 : 2000000 12824256 0 0 0 0 0 0 0 
_1.ptx 126 : 2000000 16366528 0 0 0 0 0 0 0 
_1.ptx 127 : 2000000 12676416 0 0 0 0 0 0 0 
_1.ptx 128 : 2000000 22240384 0 0 0 0 0 0 0 
_1.ptx 129 : 2000000 14524928 0 0 0 0 0 0 0 
_1.ptx 130 : 2000000 22455808 0 0 0 0 0 0 0 
_1.ptx 131 : 2000000 12744896 0 0 0 0 0 0 0 
_1.ptx 132 : 2000000 12811712 0 0 0 0 0 0 0 
_1.ptx 133 : 2000000 19045760 0 0 0 0 0 0 0 
_1.ptx 134 : 2000000 22909312 0 0 0 0 0 0 0 
_1.ptx 135 : 2000000 13204320 0 0 0 0 0 0 0 
_1.ptx 136 : 2000000 13254112 0 0 0 0 0 0 0 
_1.ptx 137 : 2000000 18226848 0 0 0 0 0 0 0 
_1.ptx 138 : 2000000 12263136 0 0 0 0 0 0 0 
_1.ptx 139 : 2000000 22254816 0 0 0 0 0 0 0 
_1.ptx 140 : 2000000 36555552 0 0 0 0 0 0 0 
_1.ptx 141 : 2000000 12350496 0 0 0 0 0 0 0 
_1.ptx 142 : 2000000 22302976 0 0 0 0 0 0 0 
_1.ptx 143 : 2000000 44601792 0 0 0 0 0 0 0 
_1.ptx 144 : 2000000 51334144 0 0 0 0 0 0 0 
_1.ptx 145 : 2000000 12436864 0 0 0 0 0 0 0 
_1.ptx 146 : 2000000 12516544 0 0 0 0 0 0 0 
_1.ptx 147 : 2000000 18301728 0 0 0 0 0 0 0 
_1.ptx 148 : 2000000 55310752 0 0 0 0 0 0 0 
_1.ptx 149 : 2000000 12685824 0 0 0 0 0 0 0 
_1.ptx 150 : 2000000 12663488 0 0 0 0 0 0 0 
_1.ptx 151 : 2000000 18263808 0 0 0 0 0 0 0 
_1.ptx 152 : 2000000 12319008 0 0 0 0 0 0 0 
_1.ptx 153 : 2000000 22347360 0 0 0 0 0 0 0 
_1.ptx 154 : 2000000 12319584 0 0 0 0 0 0 0 
_1.ptx 155 : 2000000 18227104 0 0 0 0 0 0 0 
_1.ptx 156 : 2000000 12273120 0 0 0 0 0 0 0 
_1.ptx 157 : 2000000 22348864 0 0 0 0 0 0 0 
_1.ptx 158 : 2000000 12290752 0 0 0 0 0 0 0 
_1.ptx 159 : 2000000 18223328 0 0 0 0 0 0 0 
_1.ptx 160 : 2000000 12273312 0 0 0 0 0 0 0 
_1.ptx 161 : 2000000 18208224 0 0 0 0 0 0 0 
_1.ptx 162 : 2000000 12276288 0 0 0 0 0 0 0 
_1.ptx 163 : 2000000 18275808 0 0 0 0 0 0 0 
_1.ptx 164 : 2000000 12278304 0 0 0 0 0 0 0 
_1.ptx 165 : 2000000 18210496 0 0 0 0 0 0 0 
_1.ptx 166 : 2000000 12268800 0 0 0 0 0 0 0 
_1.ptx 167 : 2000000 18244512 0 0 0 0 0 0 0 
_1.ptx 168 : 2000000 22423840 0 0 0 0 0 0 0 
_1.ptx 169 : 2000000 22322240 0 0 0 0 0 0 0 
_1.ptx 170 : 2000000 22307648 0 0 0 0 0 0 0 
_1.ptx 171 : 2000000 22361984 0 0 0 0 0 0 0 
_1.ptx 172 : 2000000 12312224 0 0 0 0 0 0 0 
_1.ptx 173 : 2000000 22294592 0 0 0 0 0 0 0 
_1.ptx 174 : 2000000 12310176 0 0 0 0 0 0 0 
_1.ptx 175 : 2000000 22235552 0 0 0 0 0 0 0 
_1.ptx 176 : 2000000 18278752 0 0 0 0 0 0 0 
_1.ptx 177 : 2000000 18228960 0 0 0 0 0 0 0 
_1.ptx 178 : 2000000 22286816 0 0 0 0 0 0 0 
_1.ptx 179 : 2000000 22340096 0 0 0 0 0 0 0 
_1.ptx 180 : 2000000 22246272 0 0 0 0 0 0 0 
_1.ptx 181 : 2000000 218380096 8000000 0 0 62500 62500 0 0 
_1.ptx 182 : 2000000 12574496 0 0 0 0 0 0 0 
_1.ptx 183 : 2000000 22593120 0 0 0 0 0 0 0 
_1.ptx 184 : 2000000 22660320 0 0 0 0 0 0 0 
_1.ptx 185 : 2000000 12976192 0 0 0 0 0 0 0 
_1.ptx 186 : 2000000 22403840 0 0 0 0 0 0 0 
_1.ptx 187 : 2000000 22390432 0 0 0 0 0 0 0 
_1.ptx 188 : 2000000 22327776 0 0 0 0 0 0 0 
_1.ptx 189 : 2000000 257837600 8000000 0 0 62500 62500 0 0 
_1.ptx 190 : 2000000 22379040 0 0 0 0 0 0 0 
_1.ptx 191 : 2000000 22531264 0 0 0 0 0 0 0 
_1.ptx 192 : 2000000 22769344 0 0 0 0 0 0 0 
_1.ptx 193 : 2000000 23018912 0 0 0 0 0 0 0 
_1.ptx 194 : 2000000 23554944 0 0 0 0 0 0 0 
_1.ptx 195 : 2000000 23333504 0 0 0 0 0 0 0 
_1.ptx 196 : 2000000 17580448 0 0 0 0 0 0 0 
_1.ptx 197 : 2000000 12497312 0 0 0 0 0 0 0 
