kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2026656 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2227328 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 2988000 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2781632 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2027328 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1750944 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2186752 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 2975328 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 1981216 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 1951136 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2840896 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 9418496 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2945120 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 8073280 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 2969728 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1715456 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 1998752 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 623644032 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 625502560 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9632256 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10754944 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10786016 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10800192 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8649792 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 4953248 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1649728 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 9887136 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2935776 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2947552 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2178176 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1264928 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 421760 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4357344 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5481472 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3114188 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1546486 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1383749 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1589635 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2247826 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2367436 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2823339 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2952694 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2322977 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1610831 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2849918 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2262067 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 5623653 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 4587836 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 2994730 0 0 0 0 0 0 0 
