kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 106881888 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 27478080 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1273920 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1277984 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 15570976 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 30352960 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 40499904 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 45543808 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 23255904 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 28326112 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1296320 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1297440 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3214496 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1296064 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2393184 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 130795008 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1749920 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 66976 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 113996928 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1295488 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1669472 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1479040 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2294112 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1461536 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2272960 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1448480 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2300640 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 118827264 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1442176 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2398208 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2269408 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 164855456 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1469600 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2268608 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2266560 0 0 0 0 0 0 0 
