kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3061062 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 589920 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 618842 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5572736 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5613583 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3797496 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4476390 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2655204 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 902597 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1099507 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1024328 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 890360 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1098592 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1006910 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1104012 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 890762 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1091181 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 441920 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 685747 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 511991 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 486444 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 800781 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 717853 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 293378 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 295257 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 293616 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 294636 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 286603 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 293302 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 289255 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 703724 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 706962 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 710396 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 720016 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 725507 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 720321 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 329049 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 442243 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 536764 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 130222 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 306769 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 306165 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 306519 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 298967 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 74677 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 222496 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 221615 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 223696 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 226591 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 226451 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 183977 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 186382 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 631288 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 242851 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 237573 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 239040 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 730091 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 728875 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 741905 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 769160 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 613079 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 601576 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 2054374 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 733137 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 718728 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 731279 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 714304 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 601710 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 599644 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 428236 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 537809 0 0 0 0 0 0 0 
_1.ptx 903 : 62282 433067 0 0 0 0 0 0 0 
_1.ptx 910 : 62282 487424 0 0 0 0 0 0 0 
_1.ptx 911 : 62282 490612 0 0 0 0 0 0 0 
_1.ptx 912 : 62282 498500 0 0 0 0 0 0 0 
_1.ptx 915 : 62282 441239 0 0 0 0 0 0 0 
_1.ptx 916 : 62282 719212 0 0 0 0 0 0 0 
_1.ptx 917 : 62282 485311 0 0 0 0 0 0 0 
_1.ptx 918 : 62282 968715 0 0 0 0 0 0 0 
_1.ptx 919 : 62282 710699 0 0 0 0 0 0 0 
_1.ptx 920 : 62282 584689 26752 0 0 0 0 0 0 
_1.ptx 921 : 62282 417676 0 0 0 0 0 0 0 
_1.ptx 922 : 62282 719921 0 0 0 0 0 0 0 
_1.ptx 923 : 62282 767594 50240 0 0 0 0 0 0 
_1.ptx 924 : 62282 412195 0 0 0 0 0 0 0 
_1.ptx 925 : 62282 710675 0 0 0 0 0 0 0 
_1.ptx 926 : 62282 977015 27680 0 0 0 0 0 0 
_1.ptx 927 : 62282 405625 0 0 0 0 0 0 0 
_1.ptx 928 : 62282 711551 0 0 0 0 0 0 0 
_1.ptx 929 : 62282 984765 19008 0 0 0 0 0 0 
_1.ptx 931 : 62282 407473 0 0 0 0 0 0 0 
_1.ptx 932 : 62282 714122 0 0 0 0 0 0 0 
_1.ptx 933 : 62282 419922 0 0 0 0 0 0 0 
_1.ptx 934 : 62282 711834 0 0 0 0 0 0 0 
_1.ptx 935 : 62282 411179 0 0 0 0 0 0 0 
_1.ptx 936 : 62282 717719 0 0 0 0 0 0 0 
_1.ptx 937 : 62282 742486 0 0 0 0 0 0 0 
_1.ptx 938 : 62282 601067 0 0 0 0 0 0 0 
_1.ptx 939 : 62282 593111 0 0 0 0 0 0 0 
_1.ptx 940 : 62282 2274771 0 0 0 0 0 0 0 
_1.ptx 941 : 62282 764557 0 0 0 0 0 0 0 
_1.ptx 942 : 62282 765898 0 0 0 0 0 0 0 
_1.ptx 943 : 62282 789307 0 0 0 0 0 0 0 
_1.ptx 944 : 62282 764426 0 0 0 0 0 0 0 
_1.ptx 945 : 62282 596894 0 0 0 0 0 0 0 
_1.ptx 946 : 62282 598650 0 0 0 0 0 0 0 
_1.ptx 947 : 62282 436361 0 0 0 0 0 0 0 
_1.ptx 948 : 62282 544155 0 0 0 0 0 0 0 
_1.ptx 949 : 62282 38145 0 0 0 0 0 0 318 
_1.ptx 951 : 56815 447726 0 0 0 0 0 0 0 
_1.ptx 952 : 56815 355257 0 0 0 0 0 0 0 
_1.ptx 955 : 220903 1010573 128 0 0 8579 8579 0 0 
_1.ptx 956 : 220903 1062730 0 0 0 8579 8579 0 0 
_1.ptx 957 : 220903 1041962 0 0 0 8579 8579 0 0 
_1.ptx 958 : 220903 1041286 0 0 0 8579 8579 0 0 
_1.ptx 959 : 220903 1471302 0 0 0 0 0 0 0 
_1.ptx 960 : 220903 1891708 0 0 0 0 0 0 0 
_1.ptx 961 : 220903 1138664 0 0 0 0 0 0 0 
_1.ptx 963 : 56815 431312 0 0 0 0 0 0 0 
_1.ptx 964 : 56815 378195 0 0 0 0 0 0 0 
_1.ptx 965 : 56815 475890 0 0 0 0 0 0 0 
_1.ptx 966 : 56815 367120 0 0 0 0 0 0 0 
_1.ptx 971 : 56815 361697 0 0 0 0 0 0 0 
_1.ptx 972 : 56815 525381 0 0 0 0 0 0 0 
_1.ptx 973 : 56815 637851 0 0 0 0 0 0 0 
_1.ptx 974 : 56815 3341439 0 0 0 0 0 0 0 
_1.ptx 976 : 56815 369639 0 0 0 0 0 0 0 
_1.ptx 977 : 56815 372543 0 0 0 0 0 0 0 
_1.ptx 978 : 56815 485169 0 0 0 0 0 0 0 
_1.ptx 979 : 56815 528525 0 0 0 0 0 0 0 
_1.ptx 982 : 56815 433127 0 0 0 0 0 0 0 
_1.ptx 983 : 56815 378830 0 0 0 0 0 0 0 
_1.ptx 986 : 164088 753630 0 0 0 6402 6402 0 0 
_1.ptx 987 : 164088 620360 0 0 0 0 0 0 0 
_1.ptx 988 : 164088 1940687 0 0 0 0 0 0 0 
_1.ptx 989 : 164088 1151215 0 0 0 0 0 0 0 
_1.ptx 990 : 164088 1942300 0 0 0 0 0 0 0 
_1.ptx 991 : 164088 1183889 0 0 0 0 0 0 0 
_1.ptx 992 : 164088 1958752 0 0 0 0 0 0 0 
_1.ptx 993 : 164088 1203808 0 0 0 0 0 0 0 
_1.ptx 994 : 164088 1945474 0 0 0 0 0 0 0 
_1.ptx 995 : 164088 1944088 0 0 0 0 0 0 0 
_1.ptx 996 : 164088 1982041 0 0 0 0 0 0 0 
_1.ptx 997 : 164088 1977267 0 0 0 0 0 0 0 
_1.ptx 998 : 164088 1983133 0 0 0 0 0 0 0 
_1.ptx 999 : 164088 1981449 0 0 0 0 0 0 0 
_1.ptx 1000 : 164088 2004037 0 0 0 0 0 0 0 
_1.ptx 1001 : 164088 2017562 0 0 0 0 0 0 0 
_1.ptx 1002 : 164088 1677238 0 0 0 0 0 0 0 
_1.ptx 1003 : 164088 1660646 0 0 0 0 0 0 0 
_1.ptx 1004 : 164088 1999849 0 0 0 0 0 0 0 
_1.ptx 1005 : 164088 1644680 0 0 0 0 0 0 0 
