kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2076672 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2260992 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 3018624 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2827648 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2084544 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1814016 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2218304 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 3000448 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 2029504 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 2003200 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2869600 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 5826528 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2971456 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 4520064 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 3002944 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1763680 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2043328 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 405457696 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 406227264 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9738368 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10916768 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10974528 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10984288 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8803712 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 5128448 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1717920 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 6360032 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2962112 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2976160 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2222816 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1315296 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 435936 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4508416 0 0 0 0 0 0 0 
