kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 115199200 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 29159712 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1307008 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1320096 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13029632 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 31606912 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 40981248 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 46640576 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 21381504 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 30110048 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1296192 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1297472 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3207744 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1295904 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2395008 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 86049600 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1749504 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 67232 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 71942816 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1292512 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1669600 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1479488 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2297376 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1463008 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2274880 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1446752 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2294208 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 78614368 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1443616 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2406240 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2270336 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 106663648 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1467552 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2264064 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2265216 0 0 0 0 0 0 0 
_1.ptx 89 : 204800 1529664 0 0 0 0 0 0 0 
_1.ptx 93 : 6963200 10191806176 35548672 0 0 6963200 217600 0 0 
_1.ptx 94 : 6963200 5433885472 27852800 0 0 217600 217600 0 0 
_1.ptx 95 : 6963200 69866432 0 0 0 0 0 0 0 
_1.ptx 96 : 6963200 69795488 0 0 0 0 0 0 0 
_1.ptx 97 : 6963200 76675456 0 0 0 0 0 0 0 
_1.ptx 98 : 6963200 55957408 0 0 0 0 0 0 0 
_1.ptx 99 : 6963200 40569760 0 0 0 0 0 0 0 
_1.ptx 103 : 215296 1293824 0 0 0 0 0 0 0 
_1.ptx 125 : 4090624 27793600 0 0 0 0 0 0 0 
_1.ptx 126 : 4090624 27966656 0 0 0 0 0 0 0 
_1.ptx 127 : 4090624 56239200 0 0 0 0 0 0 0 
_1.ptx 128 : 4090624 28016000 0 0 0 0 0 0 0 
_1.ptx 129 : 4090624 48632800 0 0 0 0 0 0 0 
_1.ptx 130 : 4090624 28594144 0 0 0 0 0 0 0 
_1.ptx 131 : 4090624 51752256 0 0 0 0 0 0 0 
_1.ptx 132 : 4090624 28756608 0 0 0 0 0 0 0 
_1.ptx 133 : 4090624 53616320 0 0 0 0 0 0 0 
_1.ptx 134 : 4090624 28662208 0 0 0 0 0 0 0 
_1.ptx 135 : 4090624 47596672 0 0 0 0 0 0 0 
_1.ptx 136 : 4090624 12907552 0 0 0 0 0 0 0 
_1.ptx 137 : 4090624 35813440 0 0 0 0 0 0 0 
_1.ptx 138 : 4090624 1328704 0 0 0 0 0 0 0 
_1.ptx 139 : 3891200 12246624 0 0 0 0 0 0 0 
_1.ptx 140 : 3891200 26222976 0 0 0 0 0 0 0 
_1.ptx 141 : 3891200 33582816 0 0 0 0 0 0 0 
_1.ptx 142 : 3891200 0 0 0 0 0 0 0 0 
_1.ptx 143 : 3891200 30066336 0 0 0 0 0 0 0 
_1.ptx 144 : 3891200 12237920 0 0 0 0 0 0 0 
_1.ptx 145 : 3891200 26451200 0 0 0 0 0 0 0 
_1.ptx 146 : 3891200 33866752 0 0 0 0 0 0 0 
_1.ptx 147 : 3891200 27351264 0 0 0 0 0 0 0 
_1.ptx 148 : 3891200 27216032 0 0 0 0 0 0 0 
_1.ptx 149 : 3891200 26884192 0 0 0 0 0 0 0 
_1.ptx 150 : 3891200 27115200 0 0 0 0 0 0 0 
_1.ptx 151 : 3891200 30940960 0 0 0 0 0 0 0 
_1.ptx 154 : 19456000 0 0 0 0 0 0 0 0 
_1.ptx 155 : 19456000 160123232 0 0 0 0 0 0 0 
_1.ptx 156 : 19456000 222271008 0 0 0 0 0 0 0 
_1.ptx 157 : 19456000 161836800 0 0 0 0 0 0 0 
_1.ptx 158 : 19456000 231295872 0 0 0 0 0 0 0 
_1.ptx 159 : 19456000 167033760 0 0 0 0 0 0 0 
_1.ptx 160 : 19456000 206003744 0 0 0 0 0 0 0 
_1.ptx 161 : 19456000 232568448 0 0 0 0 0 0 0 
_1.ptx 162 : 19456000 164691808 0 0 0 0 0 0 0 
_1.ptx 163 : 19456000 146981440 0 0 0 0 0 0 0 
_1.ptx 164 : 19456000 161757856 0 0 0 0 0 0 0 
_1.ptx 168 : 661504000 5784610560 0 0 0 0 0 0 0 
_1.ptx 169 : 661504000 5020412128 0 0 0 0 0 0 0 
_1.ptx 170 : 661504000 5664316960 0 0 0 0 0 0 0 
_1.ptx 171 : 661504000 4954165216 0 0 0 0 0 0 0 
_1.ptx 172 : 661504000 5642449792 0 0 0 0 0 0 0 
_1.ptx 173 : 661504000 4920009728 0 0 0 0 0 0 0 
_1.ptx 174 : 661504000 5510773760 0 0 0 0 0 0 0 
_1.ptx 175 : 661504000 246302032992 2646016000 0 0 0 0 0 0 
_1.ptx 176 : 661504000 5474797568 0 0 0 0 0 0 0 
_1.ptx 178 : 661504000 3087186752 1408 0 0 0 0 0 0 
_1.ptx 179 : 661504000 7990429216 0 0 0 0 0 0 0 
_1.ptx 180 : 661504000 6766874720 0 0 0 0 0 0 0 
_1.ptx 181 : 661504000 7730760544 0 0 0 0 0 0 0 
_1.ptx 182 : 661504000 7682760544 0 0 0 0 0 0 0 
_1.ptx 183 : 661504000 8210022912 0 0 0 0 0 0 0 
_1.ptx 184 : 661504000 6235518400 0 0 0 0 0 0 0 
_1.ptx 185 : 661504000 4958615200 0 0 0 0 0 0 0 
_1.ptx 186 : 19456000 153359264 0 0 0 0 0 0 0 
_1.ptx 190 : 19456000 177461248 0 0 0 0 0 0 0 
_1.ptx 191 : 19456000 94470411 0 0 0 0 0 0 10162 
_1.ptx 193 : 6990785 58446330 0 0 0 0 0 0 0 
_1.ptx 195 : 6990785 60256618 0 0 0 0 0 0 0 
_1.ptx 197 : 19456000 221506784 0 0 0 0 0 0 0 
_1.ptx 198 : 19456000 177527488 0 0 0 0 0 0 0 
