kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3053308 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 592049 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 614138 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5550107 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5595245 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3765621 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4459112 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2647090 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 905364 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1098321 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1017472 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 887136 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1097178 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1005142 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1098559 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 885002 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1092534 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 440831 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 678360 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 509452 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 487955 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 824359 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 716254 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 457231 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 433096 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 419730 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 405959 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 372871 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 374380 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 363909 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 705033 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 706350 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 709957 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 718900 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 729914 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 722006 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 506508 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 441418 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 539153 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 128983 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 311602 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 308980 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 310634 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 301400 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 97048 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 219788 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 220553 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 222562 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 224721 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 228257 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 181669 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 184044 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 622520 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 231879 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 243822 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 237772 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 726575 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 724377 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 740913 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 774223 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 610370 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 603650 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 2077589 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 727027 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 729927 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 733317 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 712883 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 595943 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 597017 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 425581 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 536253 0 0 0 0 0 0 0 
_1.ptx 903 : 62282 431005 0 0 0 0 0 0 0 
_1.ptx 910 : 62282 483822 0 0 0 0 0 0 0 
_1.ptx 911 : 62282 489167 0 0 0 0 0 0 0 
_1.ptx 912 : 62282 501400 0 0 0 0 0 0 0 
_1.ptx 915 : 62282 444915 0 0 0 0 0 0 0 
_1.ptx 916 : 62282 725484 0 0 0 0 0 0 0 
_1.ptx 917 : 62282 489249 0 0 0 0 0 0 0 
_1.ptx 918 : 62282 949927 0 0 0 0 0 0 0 
_1.ptx 919 : 62282 710500 0 0 0 0 0 0 0 
_1.ptx 920 : 62282 628279 31520 0 0 0 0 0 0 
_1.ptx 921 : 62282 413738 0 0 0 0 0 0 0 
_1.ptx 922 : 62282 711404 0 0 0 0 0 0 0 
_1.ptx 923 : 62282 818911 53952 0 0 0 0 0 0 
_1.ptx 924 : 62282 412336 0 0 0 0 0 0 0 
_1.ptx 925 : 62282 713235 0 0 0 0 0 0 0 
_1.ptx 926 : 62282 1076416 33792 0 0 0 0 0 0 
_1.ptx 927 : 62282 406106 0 0 0 0 0 0 0 
_1.ptx 928 : 62282 710732 0 0 0 0 0 0 0 
_1.ptx 929 : 62282 1132731 24416 0 0 0 0 0 0 
_1.ptx 931 : 62282 410221 0 0 0 0 0 0 0 
_1.ptx 932 : 62282 715540 0 0 0 0 0 0 0 
_1.ptx 933 : 62282 421836 0 0 0 0 0 0 0 
_1.ptx 934 : 62282 711120 0 0 0 0 0 0 0 
_1.ptx 935 : 62282 409174 0 0 0 0 0 0 0 
_1.ptx 936 : 62282 714663 0 0 0 0 0 0 0 
_1.ptx 937 : 62282 744955 0 0 0 0 0 0 0 
_1.ptx 938 : 62282 600333 0 0 0 0 0 0 0 
_1.ptx 939 : 62282 593574 0 0 0 0 0 0 0 
_1.ptx 940 : 62282 2287138 0 0 0 0 0 0 0 
_1.ptx 941 : 62282 771622 0 0 0 0 0 0 0 
_1.ptx 942 : 62282 755962 0 0 0 0 0 0 0 
_1.ptx 943 : 62282 783967 0 0 0 0 0 0 0 
_1.ptx 944 : 62282 775107 0 0 0 0 0 0 0 
_1.ptx 945 : 62282 601401 0 0 0 0 0 0 0 
_1.ptx 946 : 62282 603275 0 0 0 0 0 0 0 
_1.ptx 947 : 62282 441771 0 0 0 0 0 0 0 
_1.ptx 948 : 62282 544358 0 0 0 0 0 0 0 
_1.ptx 949 : 62282 38473 0 0 0 0 0 0 318 
_1.ptx 951 : 56815 449396 0 0 0 0 0 0 0 
_1.ptx 952 : 56815 356512 0 0 0 0 0 0 0 
_1.ptx 955 : 220903 1333301 0 0 0 8579 8579 0 0 
_1.ptx 956 : 220903 1428890 0 0 0 8579 8579 0 0 
_1.ptx 957 : 220903 1377050 0 0 0 8579 8579 0 0 
_1.ptx 958 : 220903 1270450 0 0 0 8579 8579 0 0 
_1.ptx 959 : 220903 1480448 0 0 0 0 0 0 0 
_1.ptx 960 : 220903 1901439 0 0 0 0 0 0 0 
_1.ptx 961 : 220903 1142010 0 0 0 0 0 0 0 
_1.ptx 963 : 56815 436593 0 0 0 0 0 0 0 
