kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68777 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68777 8614902 0 0 0 0 0 0 0 
_1.ptx 99 : 68777 485726 0 0 0 0 0 0 0 
_1.ptx 100 : 68777 695590 0 0 0 0 0 0 0 
_1.ptx 101 : 68777 758912 0 0 0 0 0 0 0 
_1.ptx 105 : 415490 294904776 14008576 0 0 205017 58476 0 0 
_1.ptx 106 : 415490 2916713 0 0 0 0 0 0 0 
_1.ptx 107 : 415490 4575629 0 0 0 0 0 0 0 
_1.ptx 108 : 415490 296454997 1419136 0 0 414078 58476 0 0 
_1.ptx 109 : 415490 2500641 0 0 0 0 0 0 0 
_1.ptx 110 : 415490 3327929 0 0 0 0 0 0 0 
_1.ptx 111 : 415490 1413297 0 0 0 0 0 0 26810 
_1.ptx 113 : 180225 18972669 0 0 0 0 0 0 0 
_1.ptx 114 : 180225 1818238 0 0 0 0 0 0 0 
_1.ptx 115 : 180225 1987087 0 0 0 0 0 0 0 
_1.ptx 116 : 180225 94716834 1869952 0 0 40055 40055 0 0 
_1.ptx 117 : 180225 1805669 0 0 0 0 0 0 0 
_1.ptx 118 : 180225 1809074 0 0 0 0 0 0 0 
_1.ptx 119 : 180225 1984796 0 0 0 0 0 0 0 
_1.ptx 120 : 180225 30148589 2826784 0 0 179855 40055 0 0 
_1.ptx 122 : 180225 1084269 0 0 0 0 0 0 0 
_1.ptx 123 : 180225 1987278 0 0 0 0 0 0 0 
_1.ptx 124 : 180225 35001137 675712 0 0 179855 40055 0 0 
_1.ptx 126 : 180225 1084219 0 0 0 0 0 0 0 
_1.ptx 127 : 180225 27610142 0 0 0 0 0 0 0 
_1.ptx 128 : 180225 20503271 224 0 0 40055 40055 0 0 
_1.ptx 129 : 180225 109100621 3902336 0 0 62896 40055 0 0 
_1.ptx 130 : 180225 96320982 12032 0 0 62896 40055 0 0 
_1.ptx 131 : 180225 1985408 0 0 0 0 0 0 0 
_1.ptx 134 : 415490 4162132 0 0 0 0 0 0 0 
_1.ptx 135 : 415490 4167626 0 0 0 0 0 0 0 
_1.ptx 136 : 415490 3331493 0 0 0 0 0 0 0 
_1.ptx 137 : 415490 2083177 0 0 0 0 0 0 26007 
_1.ptx 141 : 589824 3714880 0 0 0 0 0 0 0 
_1.ptx 66 : 589824 3735744 0 0 0 0 0 0 0 
_1.ptx 67 : 589824 8954880 0 0 0 0 0 0 0 
_1.ptx 68 : 589824 4142528 0 0 0 0 0 0 0 
_1.ptx 69 : 589824 6958016 0 0 0 0 0 0 0 
_1.ptx 70 : 589824 11963584 128 0 0 0 0 0 0 
_1.ptx 71 : 589824 4860320 0 0 0 0 0 0 0 
_1.ptx 72 : 589824 0 0 0 0 0 0 0 0 
_1.ptx 73 : 589824 4596032 0 0 0 0 0 0 0 
_1.ptx 74 : 589824 8303712 0 0 0 0 0 0 0 
_1.ptx 75 : 589824 6560320 0 0 0 0 0 0 0 
_1.ptx 76 : 589824 138880032 157952 0 0 18432 18432 0 0 
_1.ptx 77 : 589824 3627552 0 0 0 0 0 0 0 
_1.ptx 78 : 589824 4870784 0 0 0 0 0 0 0 
_1.ptx 79 : 589824 3360573 0 0 0 0 0 0 6329 
_1.ptx 81 : 68777 421212 0 0 0 0 0 0 0 
_1.ptx 82 : 68777 5263837 6752 0 0 6329 6329 0 0 
_1.ptx 84 : 68777 4517037 0 0 0 0 0 0 0 
_1.ptx 85 : 68777 418018 0 0 0 0 0 0 0 
_1.ptx 86 : 68777 761552 0 0 0 0 0 0 0 
_1.ptx 87 : 68777 5863461 4992 0 0 6329 6329 0 0 
_1.ptx 89 : 68777 5174708 0 0 0 0 0 0 0 
_1.ptx 90 : 68777 695581 0 0 0 0 0 0 0 
_1.ptx 91 : 68777 761611 0 0 0 0 0 0 0 
_1.ptx 92 : 68777 44992613 1419136 0 0 11098 6329 0 0 
_1.ptx 93 : 68777 483481 0 0 0 0 0 0 0 
_1.ptx 94 : 68777 19044399 117248 0 0 11098 6329 0 0 
_1.ptx 95 : 68777 758857 0 0 0 0 0 0 0 
_1.ptx 96 : 68777 553373 0 0 0 0 0 0 0 
