kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2078080 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2263680 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 3019424 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2825056 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2078208 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1810176 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2220256 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 2999392 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 2024256 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 2003744 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2859360 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 5771872 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2971264 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 4729536 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 3000160 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1756832 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2044960 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 410082080 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 410795168 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9737920 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10914976 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10970240 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10970752 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8801088 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 5122560 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1717952 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 6264832 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2966880 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2980096 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2223552 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1315136 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 437312 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4501472 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5554112 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3238933 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1584864 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1405828 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1606585 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2265348 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2381116 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2780705 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2926624 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2357832 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1657350 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2785075 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2287210 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 4007617 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 3475338 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 3015372 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 3242472 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 3024519 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 3027662 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 208864 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 3074878 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 237920 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2327156 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 4738784 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 480288 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 278016 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 232832 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 5304160 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 230496 0 0 0 0 0 0 0 
_1.ptx 170 : 655360 4646432 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 281856 0 0 0 0 0 0 0 
_1.ptx 171 : 655360 5723424 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 236896 0 0 0 0 0 0 0 
_1.ptx 172 : 655360 4185696 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 236896 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 481916 0 0 0 0 0 0 256 
_1.ptx 76 : 32768 283456 0 0 0 0 0 0 0 
