kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 477344 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 458112 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 465600 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 3466880 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 450752 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 745984 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 548000 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 4149408 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 557600 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 187424 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 454080 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 760544 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 469408 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 3377600 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 517920 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 3302208 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 515296 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 198048 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 597792 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 195936 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 729280 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 3495712 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 252192 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 729696 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 256512 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 730784 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 254656 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 727104 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 272768 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 725952 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 669326880 8000000 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 666877824 8000000 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 674959232 8000000 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 26685696 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 211574784 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 144508672 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 16834336 0 0 0 0 0 0 0 
_1.ptx 108 : 2000000 148398272 0 0 0 0 0 0 0 
_1.ptx 109 : 2000000 26810464 0 0 0 0 0 0 0 
_1.ptx 110 : 2000000 14787040 0 0 0 0 0 0 0 
_1.ptx 111 : 2000000 27738688 0 0 0 0 0 0 0 
_1.ptx 112 : 2000000 15114048 0 0 0 0 0 0 0 
_1.ptx 113 : 2000000 26516704 0 0 0 0 0 0 0 
_1.ptx 114 : 2000000 147500160 0 0 0 0 0 0 0 
_1.ptx 115 : 2000000 19503296 0 0 0 0 0 0 0 
_1.ptx 116 : 2000000 26207168 0 0 0 0 0 0 0 
_1.ptx 117 : 2000000 210469664 0 0 0 0 0 0 0 
_1.ptx 118 : 2000000 24184192 0 0 0 0 0 0 0 
_1.ptx 119 : 2000000 24165504 0 0 0 0 0 0 0 
_1.ptx 120 : 2000000 14814368 0 0 0 0 0 0 0 
_1.ptx 121 : 2000000 18579808 0 0 0 0 0 0 0 
_1.ptx 122 : 2000000 15242080 0 0 0 0 0 0 0 
_1.ptx 123 : 2000000 25913312 0 0 0 0 0 0 0 
_1.ptx 124 : 2000000 17998656 0 0 0 0 0 0 0 
_1.ptx 125 : 2000000 15783776 0 0 0 0 0 0 0 
_1.ptx 126 : 2000000 18339968 0 0 0 0 0 0 0 
_1.ptx 127 : 2000000 15354784 0 0 0 0 0 0 0 
_1.ptx 128 : 2000000 25554656 0 0 0 0 0 0 0 
_1.ptx 129 : 2000000 17294880 0 0 0 0 0 0 0 
_1.ptx 130 : 2000000 26282240 0 0 0 0 0 0 0 
_1.ptx 131 : 2000000 15959200 0 0 0 0 0 0 0 
_1.ptx 132 : 2000000 16313984 0 0 0 0 0 0 0 
_1.ptx 133 : 2000000 19869056 0 0 0 0 0 0 0 
_1.ptx 134 : 2000000 26382592 0 0 0 0 0 0 0 
_1.ptx 135 : 2000000 15931520 0 0 0 0 0 0 0 
_1.ptx 136 : 2000000 16339872 0 0 0 0 0 0 0 
_1.ptx 137 : 2000000 19797632 0 0 0 0 0 0 0 
_1.ptx 138 : 2000000 14822368 0 0 0 0 0 0 0 
_1.ptx 139 : 2000000 25820960 0 0 0 0 0 0 0 
_1.ptx 140 : 2000000 145511232 0 0 0 0 0 0 0 
_1.ptx 141 : 2000000 14960192 0 0 0 0 0 0 0 
_1.ptx 142 : 2000000 26160288 0 0 0 0 0 0 0 
_1.ptx 143 : 2000000 149355296 0 0 0 0 0 0 0 
_1.ptx 144 : 2000000 152147136 0 0 0 0 0 0 0 
_1.ptx 145 : 2000000 14659232 0 0 0 0 0 0 0 
_1.ptx 146 : 2000000 15270368 0 0 0 0 0 0 0 
_1.ptx 147 : 2000000 19642656 0 0 0 0 0 0 0 
_1.ptx 148 : 2000000 152711040 0 0 0 0 0 0 0 
_1.ptx 149 : 2000000 14840160 0 0 0 0 0 0 0 
_1.ptx 150 : 2000000 15368640 0 0 0 0 0 0 0 
_1.ptx 151 : 2000000 19668384 0 0 0 0 0 0 0 
_1.ptx 152 : 2000000 14664160 0 0 0 0 0 0 0 
_1.ptx 153 : 2000000 25968160 0 0 0 0 0 0 0 
_1.ptx 154 : 2000000 14688160 0 0 0 0 0 0 0 
_1.ptx 155 : 2000000 19759104 0 0 0 0 0 0 0 
_1.ptx 156 : 2000000 14715104 0 0 0 0 0 0 0 
_1.ptx 157 : 2000000 25359712 0 0 0 0 0 0 0 
_1.ptx 158 : 2000000 14549504 0 0 0 0 0 0 0 
_1.ptx 159 : 2000000 19668192 0 0 0 0 0 0 0 
_1.ptx 160 : 2000000 14525600 0 0 0 0 0 0 0 
_1.ptx 161 : 2000000 19625856 0 0 0 0 0 0 0 
_1.ptx 162 : 2000000 14503392 0 0 0 0 0 0 0 
_1.ptx 163 : 2000000 19782880 0 0 0 0 0 0 0 
_1.ptx 164 : 2000000 14534592 0 0 0 0 0 0 0 
_1.ptx 165 : 2000000 19633408 0 0 0 0 0 0 0 
_1.ptx 166 : 2000000 14568064 0 0 0 0 0 0 0 
_1.ptx 167 : 2000000 19509760 0 0 0 0 0 0 0 
_1.ptx 168 : 2000000 25404896 0 0 0 0 0 0 0 
_1.ptx 169 : 2000000 25592480 0 0 0 0 0 0 0 
_1.ptx 170 : 2000000 25576672 0 0 0 0 0 0 0 
_1.ptx 171 : 2000000 25984800 0 0 0 0 0 0 0 
_1.ptx 172 : 2000000 14865600 0 0 0 0 0 0 0 
_1.ptx 173 : 2000000 24093152 0 0 0 0 0 0 0 
_1.ptx 174 : 2000000 14743232 0 0 0 0 0 0 0 
_1.ptx 175 : 2000000 23720704 0 0 0 0 0 0 0 
_1.ptx 176 : 2000000 19711584 0 0 0 0 0 0 0 
_1.ptx 177 : 2000000 19484416 0 0 0 0 0 0 0 
_1.ptx 178 : 2000000 25097664 0 0 0 0 0 0 0 
_1.ptx 179 : 2000000 25892768 0 0 0 0 0 0 0 
_1.ptx 180 : 2000000 23670944 0 0 0 0 0 0 0 
_1.ptx 181 : 2000000 11111968 8000000 0 0 62500 62500 0 0 
_1.ptx 182 : 2000000 14349440 0 0 0 0 0 0 0 
_1.ptx 183 : 2000000 23672544 0 0 0 0 0 0 0 
_1.ptx 184 : 2000000 25512704 0 0 0 0 0 0 0 
_1.ptx 185 : 2000000 15023456 0 0 0 0 0 0 0 
_1.ptx 186 : 2000000 23726336 0 0 0 0 0 0 0 
_1.ptx 187 : 2000000 25307520 0 0 0 0 0 0 0 
_1.ptx 188 : 2000000 23733408 0 0 0 0 0 0 0 
_1.ptx 189 : 2000000 11256768 8000000 0 0 62500 62500 0 0 
_1.ptx 190 : 2000000 23388512 0 0 0 0 0 0 0 
_1.ptx 191 : 2000000 23806144 0 0 0 0 0 0 0 
_1.ptx 192 : 2000000 24219072 0 0 0 0 0 0 0 
_1.ptx 193 : 2000000 24740832 0 0 0 0 0 0 0 
_1.ptx 194 : 2000000 25300160 0 0 0 0 0 0 0 
_1.ptx 195 : 2000000 25123328 0 0 0 0 0 0 0 
_1.ptx 196 : 2000000 19649312 0 0 0 0 0 0 0 
_1.ptx 197 : 2000000 14870560 0 0 0 0 0 0 0 
