kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68689 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68689 8527371 0 0 0 0 0 0 0 
_1.ptx 99 : 68689 485432 0 0 0 0 0 0 0 
_1.ptx 100 : 68689 695147 0 0 0 0 0 0 0 
_1.ptx 101 : 68689 758116 0 0 0 0 0 0 0 
_1.ptx 105 : 414995 260003921 3719424 0 0 204266 58211 0 0 
_1.ptx 106 : 414995 2912167 0 0 0 0 0 0 0 
_1.ptx 107 : 414995 4569579 0 0 0 0 0 0 0 
_1.ptx 108 : 414995 292235006 68736 0 0 413593 58211 0 0 
_1.ptx 109 : 414995 2497891 0 0 0 0 0 0 0 
_1.ptx 110 : 414995 3323793 0 0 0 0 0 0 0 
_1.ptx 111 : 414995 1408881 0 0 0 0 0 0 26773 
_1.ptx 113 : 180500 19145093 0 0 0 0 0 0 0 
_1.ptx 114 : 180500 1821056 0 0 0 0 0 0 0 
_1.ptx 115 : 180500 1990255 0 0 0 0 0 0 0 
_1.ptx 116 : 180500 84641455 48768 0 0 39925 39925 0 0 
_1.ptx 117 : 180500 1808875 0 0 0 0 0 0 0 
_1.ptx 118 : 180500 1812411 0 0 0 0 0 0 0 
_1.ptx 119 : 180500 1988202 0 0 0 0 0 0 0 
_1.ptx 120 : 180500 30994485 215200 0 0 180138 39925 0 0 
_1.ptx 122 : 180500 1086224 0 0 0 0 0 0 0 
_1.ptx 123 : 180500 1990419 0 0 0 0 0 0 0 
_1.ptx 124 : 180500 36582532 12160 0 0 180138 39925 0 0 
_1.ptx 126 : 180500 1086014 0 0 0 0 0 0 0 
_1.ptx 127 : 180500 28297369 0 0 0 0 0 0 0 
_1.ptx 128 : 180500 20478638 32 0 0 39925 39925 0 0 
_1.ptx 129 : 180500 92341018 93056 0 0 62683 39925 0 0 
_1.ptx 130 : 180500 80179474 384 0 0 62683 39925 0 0 
_1.ptx 131 : 180500 1988801 0 0 0 0 0 0 0 
_1.ptx 134 : 414995 4158140 0 0 0 0 0 0 0 
_1.ptx 135 : 414995 4163127 0 0 0 0 0 0 0 
_1.ptx 136 : 414995 3327610 0 0 0 0 0 0 0 
_1.ptx 137 : 414995 2081100 0 0 0 0 0 0 25921 
_1.ptx 141 : 589824 3702208 0 0 0 0 0 0 0 
_1.ptx 66 : 589824 3742880 0 0 0 0 0 0 0 
_1.ptx 67 : 589824 8918688 0 0 0 0 0 0 0 
_1.ptx 68 : 589824 4153728 0 0 0 0 0 0 0 
_1.ptx 69 : 589824 6962912 0 0 0 0 0 0 0 
_1.ptx 70 : 589824 12099936 128 0 0 0 0 0 0 
_1.ptx 71 : 589824 4860000 0 0 0 0 0 0 0 
_1.ptx 72 : 589824 0 0 0 0 0 0 0 0 
_1.ptx 73 : 589824 4602624 0 0 0 0 0 0 0 
_1.ptx 74 : 589824 8291968 0 0 0 0 0 0 0 
_1.ptx 75 : 589824 6564480 0 0 0 0 0 0 0 
_1.ptx 76 : 589824 133425920 107776 0 0 18432 18432 0 0 
_1.ptx 77 : 589824 3630240 0 0 0 0 0 0 0 
_1.ptx 78 : 589824 4867872 0 0 0 0 0 0 0 
_1.ptx 79 : 589824 3367281 0 0 0 0 0 0 6284 
_1.ptx 81 : 68689 420663 0 0 0 0 0 0 0 
_1.ptx 82 : 68689 5055218 32 0 0 6284 6284 0 0 
_1.ptx 84 : 68689 4396148 0 0 0 0 0 0 0 
_1.ptx 85 : 68689 417237 0 0 0 0 0 0 0 
_1.ptx 86 : 68689 760318 0 0 0 0 0 0 0 
_1.ptx 87 : 68689 5886788 32 0 0 6284 6284 0 0 
_1.ptx 89 : 68689 4952854 0 0 0 0 0 0 0 
_1.ptx 90 : 68689 695069 0 0 0 0 0 0 0 
_1.ptx 91 : 68689 760049 0 0 0 0 0 0 0 
_1.ptx 92 : 68689 44101690 1390208 0 0 11012 6284 0 0 
_1.ptx 93 : 68689 482642 0 0 0 0 0 0 0 
_1.ptx 94 : 68689 16771580 6528 0 0 11012 6284 0 0 
_1.ptx 95 : 68689 757967 0 0 0 0 0 0 0 
_1.ptx 96 : 68689 552602 0 0 0 0 0 0 0 
