kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3056075 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 590825 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 616641 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5561847 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5614175 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3792044 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4475247 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2665334 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 909194 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1102094 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1023875 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 897691 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1100650 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1009670 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1101462 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 890674 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1092092 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 445549 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 682946 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 513912 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 490558 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 817324 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 715339 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 297534 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 297300 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 297223 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 299103 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 287701 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 295118 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 289583 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 702974 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 707169 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 709855 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 718802 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 729285 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 718717 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 310649 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 440894 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 536841 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 127900 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 310128 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 303096 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 306900 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 297462 0 0 0 0 0 0 0 
