kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68718 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68718 8215714 0 0 0 0 0 0 0 
_1.ptx 99 : 68718 485405 0 0 0 0 0 0 0 
_1.ptx 100 : 68718 694680 0 0 0 0 0 0 0 
_1.ptx 101 : 68718 758595 0 0 0 0 0 0 0 
_1.ptx 105 : 415126 257817889 3718400 0 0 204542 58276 0 0 
_1.ptx 106 : 415126 2912903 0 0 0 0 0 0 0 
_1.ptx 107 : 415126 4570870 0 0 0 0 0 0 0 
_1.ptx 108 : 415126 290246825 67968 0 0 413718 58276 0 0 
_1.ptx 109 : 415126 2498706 0 0 0 0 0 0 0 
_1.ptx 110 : 415126 3324987 0 0 0 0 0 0 0 
_1.ptx 111 : 415126 1408309 0 0 0 0 0 0 26735 
_1.ptx 113 : 180663 19394879 0 0 0 0 0 0 0 
_1.ptx 114 : 180663 1822690 0 0 0 0 0 0 0 
_1.ptx 115 : 180663 1992056 0 0 0 0 0 0 0 
_1.ptx 116 : 180663 84395100 51584 0 0 39961 39961 0 0 
_1.ptx 117 : 180663 1810267 0 0 0 0 0 0 0 
_1.ptx 118 : 180663 1813799 0 0 0 0 0 0 0 
_1.ptx 119 : 180663 1989860 0 0 0 0 0 0 0 
_1.ptx 120 : 180663 31189425 216192 0 0 180289 39961 0 0 
_1.ptx 122 : 180663 1087198 0 0 0 0 0 0 0 
_1.ptx 123 : 180663 1991842 0 0 0 0 0 0 0 
_1.ptx 124 : 180663 36046822 12128 0 0 180289 39961 0 0 
_1.ptx 126 : 180663 1087093 0 0 0 0 0 0 0 
_1.ptx 127 : 180663 28191395 0 0 0 0 0 0 0 
_1.ptx 128 : 180663 20176920 32 0 0 39961 39961 0 0 
_1.ptx 129 : 180663 92068378 88704 0 0 62832 39961 0 0 
_1.ptx 130 : 180663 80105857 512 0 0 62832 39961 0 0 
_1.ptx 131 : 180663 1990808 0 0 0 0 0 0 0 
_1.ptx 134 : 415126 4159396 0 0 0 0 0 0 0 
_1.ptx 135 : 415126 4165083 0 0 0 0 0 0 0 
_1.ptx 136 : 415126 3329679 0 0 0 0 0 0 0 
_1.ptx 137 : 415126 2081335 0 0 0 0 0 0 25975 
_1.ptx 141 : 589824 3707776 0 0 0 0 0 0 0 
_1.ptx 66 : 589824 3750048 0 0 0 0 0 0 0 
_1.ptx 67 : 589824 8908928 0 0 0 0 0 0 0 
_1.ptx 68 : 589824 4153120 0 0 0 0 0 0 0 
_1.ptx 69 : 589824 6964320 0 0 0 0 0 0 0 
_1.ptx 70 : 589824 12188672 128 0 0 0 0 0 0 
_1.ptx 71 : 589824 4861664 0 0 0 0 0 0 0 
_1.ptx 72 : 589824 0 0 0 0 0 0 0 0 
_1.ptx 73 : 589824 4596000 0 0 0 0 0 0 0 
_1.ptx 74 : 589824 8963296 0 0 0 0 0 0 0 
_1.ptx 75 : 589824 6561888 0 0 0 0 0 0 0 
_1.ptx 76 : 589824 134448448 108160 0 0 18432 18432 0 0 
_1.ptx 77 : 589824 3628160 0 0 0 0 0 0 0 
_1.ptx 78 : 589824 4872736 0 0 0 0 0 0 0 
_1.ptx 79 : 589824 3372509 0 0 0 0 0 0 6291 
_1.ptx 81 : 68718 420385 0 0 0 0 0 0 0 
_1.ptx 82 : 68718 5241539 32 0 0 6292 6292 0 0 
_1.ptx 84 : 68718 4262588 0 0 0 0 0 0 0 
_1.ptx 85 : 68718 416639 0 0 0 0 0 0 0 
_1.ptx 86 : 68718 761048 0 0 0 0 0 0 0 
_1.ptx 87 : 68718 5838497 64 0 0 6292 6292 0 0 
_1.ptx 89 : 68718 4975144 0 0 0 0 0 0 0 
_1.ptx 90 : 68718 694923 0 0 0 0 0 0 0 
_1.ptx 91 : 68718 760359 0 0 0 0 0 0 0 
_1.ptx 92 : 68718 43322410 1394304 0 0 11033 6292 0 0 
_1.ptx 93 : 68718 482900 0 0 0 0 0 0 0 
_1.ptx 94 : 68718 17265334 6784 0 0 11033 6292 0 0 
_1.ptx 95 : 68718 758040 0 0 0 0 0 0 0 
_1.ptx 96 : 68718 552678 0 0 0 0 0 0 0 
