kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 453088 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 430208 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 437664 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 1855584 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 411936 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 721184 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 512128 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 6133280 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 550496 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 2260384 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 454400 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 884544 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 463136 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 2004704 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 492608 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 1971744 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 489312 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 2219648 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 592928 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 2041376 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 717536 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 2171168 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 2236640 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 721216 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 2151392 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 725184 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 2147712 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 720864 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 2200288 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 718752 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 1574497632 8000000 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 1567157216 8000000 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 1568970720 8000000 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 24869440 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 144239072 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 71660512 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 15779232 0 0 0 0 0 0 0 
_1.ptx 108 : 2000000 73401152 0 0 0 0 0 0 0 
_1.ptx 109 : 2000000 24520544 0 0 0 0 0 0 0 
_1.ptx 110 : 2000000 13474432 0 0 0 0 0 0 0 
_1.ptx 111 : 2000000 24822656 0 0 0 0 0 0 0 
_1.ptx 112 : 2000000 13796416 0 0 0 0 0 0 0 
_1.ptx 113 : 2000000 24466272 0 0 0 0 0 0 0 
_1.ptx 114 : 2000000 73205664 0 0 0 0 0 0 0 
_1.ptx 115 : 2000000 18916384 0 0 0 0 0 0 0 
_1.ptx 116 : 2000000 24159200 0 0 0 0 0 0 0 
_1.ptx 117 : 2000000 135231360 0 0 0 0 0 0 0 
_1.ptx 118 : 2000000 23411648 0 0 0 0 0 0 0 
_1.ptx 119 : 2000000 23256224 0 0 0 0 0 0 0 
_1.ptx 120 : 2000000 13581824 0 0 0 0 0 0 0 
_1.ptx 121 : 2000000 17475328 0 0 0 0 0 0 0 
_1.ptx 122 : 2000000 13842208 0 0 0 0 0 0 0 
_1.ptx 123 : 2000000 23928608 0 0 0 0 0 0 0 
_1.ptx 124 : 2000000 16982592 0 0 0 0 0 0 0 
_1.ptx 125 : 2000000 14498624 0 0 0 0 0 0 0 
_1.ptx 126 : 2000000 17349568 0 0 0 0 0 0 0 
_1.ptx 127 : 2000000 14119968 0 0 0 0 0 0 0 
_1.ptx 128 : 2000000 23746464 0 0 0 0 0 0 0 
_1.ptx 129 : 2000000 15956288 0 0 0 0 0 0 0 
_1.ptx 130 : 2000000 24085728 0 0 0 0 0 0 0 
_1.ptx 131 : 2000000 14548352 0 0 0 0 0 0 0 
