kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3065843 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 592627 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 624327 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5578421 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5628644 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3795662 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4479660 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2676125 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 910774 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1103423 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1025089 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 893859 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1099981 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1010733 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1104234 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 892408 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1093650 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 446905 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 680368 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 513216 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 491257 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 835247 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 719072 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 305826 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 302975 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 301255 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 305408 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 300155 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 303513 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 293399 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 706407 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 708941 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 710696 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 720333 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 734659 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 724897 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 325017 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 441658 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 535584 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 129991 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 312416 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 310857 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 312745 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 300952 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 61919 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 220706 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 222060 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 223335 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 226684 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 232613 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 183176 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 185584 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 650690 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 242526 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 248399 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 248412 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 730142 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 730175 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 744463 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 773181 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 612222 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 603691 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 2101175 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 742470 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 734360 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 734114 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 718586 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 599973 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 596011 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 426210 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 537233 0 0 0 0 0 0 0 
_1.ptx 903 : 62282 431675 0 0 0 0 0 0 0 
_1.ptx 910 : 62282 487597 0 0 0 0 0 0 0 
_1.ptx 911 : 62282 493596 0 0 0 0 0 0 0 
_1.ptx 912 : 62282 509029 0 0 0 0 0 0 0 
_1.ptx 915 : 62282 450808 0 0 0 0 0 0 0 
_1.ptx 916 : 62282 725032 0 0 0 0 0 0 0 
_1.ptx 917 : 62282 494015 0 0 0 0 0 0 0 
_1.ptx 918 : 62282 989868 0 0 0 0 0 0 0 
_1.ptx 919 : 62282 709030 0 0 0 0 0 0 0 
_1.ptx 920 : 62282 539936 20960 0 0 0 0 0 0 
_1.ptx 921 : 62282 414668 0 0 0 0 0 0 0 
_1.ptx 922 : 62282 716942 0 0 0 0 0 0 0 
_1.ptx 923 : 62282 710996 44960 0 0 0 0 0 0 
_1.ptx 924 : 62282 412197 0 0 0 0 0 0 0 
_1.ptx 925 : 62282 713300 0 0 0 0 0 0 0 
_1.ptx 926 : 62282 909162 21920 0 0 0 0 0 0 
_1.ptx 927 : 62282 406420 0 0 0 0 0 0 0 
_1.ptx 928 : 62282 711978 0 0 0 0 0 0 0 
_1.ptx 929 : 62282 938922 13504 0 0 0 0 0 0 
_1.ptx 931 : 62282 410414 0 0 0 0 0 0 0 
_1.ptx 932 : 62282 715568 0 0 0 0 0 0 0 
_1.ptx 933 : 62282 423820 0 0 0 0 0 0 0 
_1.ptx 934 : 62282 712030 0 0 0 0 0 0 0 
_1.ptx 935 : 62282 410405 0 0 0 0 0 0 0 
_1.ptx 936 : 62282 718771 0 0 0 0 0 0 0 
_1.ptx 937 : 62282 746607 0 0 0 0 0 0 0 
_1.ptx 938 : 62282 601852 0 0 0 0 0 0 0 
_1.ptx 939 : 62282 594654 0 0 0 0 0 0 0 
_1.ptx 940 : 62282 2396600 0 0 0 0 0 0 0 
_1.ptx 941 : 62282 758981 0 0 0 0 0 0 0 
_1.ptx 942 : 62282 758417 0 0 0 0 0 0 0 
_1.ptx 943 : 62282 793759 0 0 0 0 0 0 0 
_1.ptx 944 : 62282 770277 0 0 0 0 0 0 0 
_1.ptx 945 : 62282 599299 0 0 0 0 0 0 0 
_1.ptx 946 : 62282 602608 0 0 0 0 0 0 0 
_1.ptx 947 : 62282 439836 0 0 0 0 0 0 0 
_1.ptx 948 : 62282 544325 0 0 0 0 0 0 0 
_1.ptx 949 : 62282 37550 0 0 0 0 0 0 318 
_1.ptx 951 : 56815 449292 0 0 0 0 0 0 0 
_1.ptx 952 : 56815 353502 0 0 0 0 0 0 0 
_1.ptx 955 : 220903 993485 0 0 0 8579 8579 0 0 
_1.ptx 956 : 220903 1001157 0 0 0 8579 8579 0 0 
_1.ptx 957 : 220903 982190 0 0 0 8579 8579 0 0 
_1.ptx 958 : 220903 992545 0 0 0 8579 8579 0 0 
_1.ptx 959 : 220903 1474269 0 0 0 0 0 0 0 
_1.ptx 960 : 220903 1888626 0 0 0 0 0 0 0 
_1.ptx 961 : 220903 1140860 0 0 0 0 0 0 0 
_1.ptx 963 : 56815 432004 0 0 0 0 0 0 0 
_1.ptx 964 : 56815 378703 0 0 0 0 0 0 0 
_1.ptx 965 : 56815 477450 0 0 0 0 0 0 0 
_1.ptx 966 : 56815 368272 0 0 0 0 0 0 0 
_1.ptx 971 : 56815 361572 0 0 0 0 0 0 0 
_1.ptx 972 : 56815 524733 0 0 0 0 0 0 0 
_1.ptx 973 : 56815 640685 0 0 0 0 0 0 0 
_1.ptx 974 : 56815 3400834 0 0 0 0 0 0 0 
_1.ptx 976 : 56815 366509 0 0 0 0 0 0 0 
_1.ptx 977 : 56815 371099 0 0 0 0 0 0 0 
_1.ptx 978 : 56815 485384 0 0 0 0 0 0 0 
_1.ptx 979 : 56815 528642 0 0 0 0 0 0 0 
_1.ptx 982 : 56815 432550 0 0 0 0 0 0 0 
_1.ptx 983 : 56815 377704 0 0 0 0 0 0 0 
_1.ptx 986 : 164088 747463 0 0 0 6402 6402 0 0 
_1.ptx 987 : 164088 621083 0 0 0 0 0 0 0 
_1.ptx 988 : 164088 1941134 0 0 0 0 0 0 0 
_1.ptx 989 : 164088 1157669 0 0 0 0 0 0 0 
_1.ptx 990 : 164088 1954969 0 0 0 0 0 0 0 
_1.ptx 991 : 164088 1184138 0 0 0 0 0 0 0 
_1.ptx 992 : 164088 1956952 0 0 0 0 0 0 0 
_1.ptx 993 : 164088 1205302 0 0 0 0 0 0 0 
_1.ptx 994 : 164088 1955484 0 0 0 0 0 0 0 
_1.ptx 995 : 164088 1947525 0 0 0 0 0 0 0 
_1.ptx 996 : 164088 1986739 0 0 0 0 0 0 0 
_1.ptx 997 : 164088 1979607 0 0 0 0 0 0 0 
_1.ptx 998 : 164088 1983621 0 0 0 0 0 0 0 
_1.ptx 999 : 164088 1979141 0 0 0 0 0 0 0 
_1.ptx 1000 : 164088 2003841 0 0 0 0 0 0 0 
_1.ptx 1001 : 164088 2018671 0 0 0 0 0 0 0 
_1.ptx 1002 : 164088 1681999 0 0 0 0 0 0 0 
_1.ptx 1003 : 164088 1663628 0 0 0 0 0 0 0 
_1.ptx 1004 : 164088 1996558 0 0 0 0 0 0 0 
_1.ptx 1005 : 164088 1646311 0 0 0 0 0 0 0 
_1.ptx 1006 : 164088 1644556 0 0 0 0 0 0 0 
_1.ptx 1007 : 164088 2005262 0 0 0 0 0 0 0 
_1.ptx 1008 : 164088 1498315 0 0 0 0 0 0 0 
_1.ptx 1009 : 164088 1391835 0 0 0 0 0 0 0 
_1.ptx 1010 : 164088 1175466 0 0 0 0 0 0 0 
_1.ptx 1011 : 164088 1460418 0 0 0 0 0 0 0 
_1.ptx 1012 : 164088 1359016 0 0 0 0 0 0 0 
_1.ptx 1013 : 164088 1466204 0 0 0 0 0 0 0 
_1.ptx 1014 : 164088 1200562 0 0 0 0 0 0 0 
_1.ptx 1015 : 164088 1465852 0 0 0 0 0 0 0 
_1.ptx 1016 : 164088 830050 0 0 0 0 0 0 965 
_1.ptx 1017 : 50431 371795 0 0 0 0 0 0 0 
_1.ptx 1018 : 50431 364866 0 0 0 0 0 0 0 
_1.ptx 1020 : 113657 1345552 0 0 0 0 0 0 0 
_1.ptx 1021 : 113657 1353613 0 0 0 0 0 0 0 
_1.ptx 1022 : 113657 1022688 0 0 0 0 0 0 0 
_1.ptx 1023 : 113657 44965 0 0 0 0 0 0 344 
_1.ptx 1024 : 107587 800577 0 0 0 0 0 0 0 
_1.ptx 1025 : 107587 810762 0 0 0 0 0 0 0 
_1.ptx 1028 : 6070 70648 0 0 0 0 0 0 0 
_1.ptx 1029 : 6070 116057 0 0 0 0 0 0 0 
_1.ptx 1030 : 6070 72167 0 0 0 0 0 0 0 
_1.ptx 1031 : 6070 73817 0 0 0 0 0 0 0 
_1.ptx 1032 : 6070 59674 0 0 0 0 0 0 0 
_1.ptx 1036 : 164088 1373947 0 0 0 0 0 0 0 
_1.ptx 1039 : 220903 1583963 0 0 0 0 0 0 0 
_1.ptx 1040 : 220903 1928448 0 0 0 0 0 0 0 
_1.ptx 1041 : 220903 1509368 0 0 0 0 0 0 370 
_1.ptx 1042 : 6068 73620 0 0 0 0 0 0 0 
_1.ptx 1043 : 6068 73219 0 0 0 0 0 0 0 
_1.ptx 1044 : 6068 73545 0 0 0 0 0 0 0 
_1.ptx 1045 : 6068 73766 0 0 0 0 0 0 0 
_1.ptx 1046 : 6068 73216 0 0 0 0 0 0 0 
_1.ptx 1047 : 6068 73303 0 0 0 0 0 0 0 
_1.ptx 1048 : 6068 73409 0 0 0 0 0 0 0 
_1.ptx 1049 : 6068 60776 0 0 0 0 0 0 0 
_1.ptx 1050 : 6068 60818 0 0 0 0 0 0 0 
_1.ptx 1051 : 6068 55741 0 0 0 0 0 0 0 
_1.ptx 1052 : 6068 46136 0 0 0 0 0 0 0 
_1.ptx 1057 : 220903 2404086 0 0 0 0 0 0 0 
_1.ptx 1058 : 220903 2412620 0 0 0 0 0 0 0 
_1.ptx 1059 : 220903 1681989 0 0 0 0 0 0 0 
_1.ptx 1060 : 220903 1940046 0 0 0 0 0 0 0 
_1.ptx 1061 : 220903 369809 0 0 0 0 0 0 0 
_1.ptx 1062 : 169119 1238483 0 0 0 0 0 0 0 
_1.ptx 1063 : 169119 1462278 0 0 0 0 0 0 0 
_1.ptx 1064 : 169119 1139232 0 0 0 0 0 0 295 
_1.ptx 1065 : 5031 35637 0 0 0 0 0 0 0 
_1.ptx 1067 : 51784 375593 0 0 0 0 0 0 0 
_1.ptx 1068 : 51784 458375 0 0 0 0 0 0 0 
_1.ptx 1071 : 56815 45233 0 0 0 0 0 0 318 
_1.ptx 1073 : 50745 600968 0 0 0 0 0 0 0 
_1.ptx 1074 : 50745 605531 0 0 0 0 0 0 0 
_1.ptx 1075 : 50745 607572 0 0 0 0 0 0 0 
_1.ptx 1076 : 50745 638081 0 0 0 0 0 0 0 
_1.ptx 1077 : 50745 505354 0 0 0 0 0 0 0 
_1.ptx 1078 : 50745 498549 0 0 0 0 0 0 0 
_1.ptx 1079 : 50745 1254179 0 0 0 0 0 0 0 
_1.ptx 1081 : 50745 371365 0 0 0 0 0 0 0 
_1.ptx 1082 : 50745 1078552 0 0 0 0 0 0 0 
_1.ptx 1083 : 50745 412221 0 0 0 0 0 0 0 
_1.ptx 1084 : 50745 726973 0 0 0 0 0 0 0 
_1.ptx 1085 : 50745 674163 0 0 0 0 0 0 0 
_1.ptx 1086 : 50745 603958 0 0 0 0 0 0 0 
_1.ptx 1087 : 50745 366817 0 0 0 0 0 0 0 
_1.ptx 1088 : 50745 364668 0 0 0 0 0 0 0 
_1.ptx 1089 : 50745 587248 0 0 0 0 0 0 0 
_1.ptx 1090 : 50745 595836 0 0 0 0 0 0 0 
_1.ptx 1091 : 50745 607467 0 0 0 0 0 0 0 
_1.ptx 1092 : 50745 353194 0 0 0 0 0 0 0 
_1.ptx 1093 : 50745 365200 0 0 0 0 0 0 0 
_1.ptx 1094 : 50745 591926 0 0 0 0 0 0 0 
_1.ptx 1095 : 50745 599607 0 0 0 0 0 0 0 
_1.ptx 1096 : 50745 605459 0 0 0 0 0 0 0 
_1.ptx 1097 : 50745 617777 0 0 0 0 0 0 0 
_1.ptx 1098 : 50745 360059 0 0 0 0 0 0 0 
_1.ptx 1099 : 50745 593018 0 0 0 0 0 0 0 
_1.ptx 1100 : 50745 491162 0 0 0 0 0 0 0 
_1.ptx 1101 : 50745 671300 0 0 0 0 0 0 0 
_1.ptx 1103 : 50745 585375 0 0 0 0 0 0 0 
_1.ptx 1104 : 50745 589903 0 0 0 0 0 0 0 
_1.ptx 1105 : 50745 590874 0 0 0 0 0 0 0 
_1.ptx 1106 : 50745 502410 0 0 0 0 0 0 0 
_1.ptx 1107 : 50745 613585 0 0 0 0 0 0 0 
_1.ptx 1108 : 50745 510756 0 0 0 0 0 0 0 
_1.ptx 1109 : 50745 384366 0 0 0 0 0 0 0 
_1.ptx 1110 : 50745 1103779 0 0 0 0 0 0 0 
_1.ptx 1111 : 50745 424828 0 0 0 0 0 0 0 
_1.ptx 1112 : 50745 1109397 0 0 0 0 0 0 0 
_1.ptx 1113 : 50745 434063 0 0 0 0 0 0 0 
_1.ptx 1114 : 50745 469207 0 0 0 0 0 0 0 
_1.ptx 1115 : 50745 377452 0 0 0 0 0 0 0 
_1.ptx 1121 : 50745 418686 0 0 0 0 0 0 0 
_1.ptx 1122 : 50745 369449 0 0 0 0 0 0 0 
_1.ptx 1123 : 50745 435271 0 0 0 0 0 0 0 
_1.ptx 1124 : 50745 0 0 0 0 0 0 0 0 
_1.ptx 1125 : 50745 330088 0 0 0 0 0 0 0 
_1.ptx 1133 : 50745 325044 0 0 0 0 0 0 0 
_1.ptx 1134 : 50745 423897 0 0 0 0 0 0 0 
_1.ptx 1135 : 50745 335394 0 0 0 0 0 0 0 
_1.ptx 1140 : 50745 329743 0 0 0 0 0 0 0 
_1.ptx 1141 : 50745 424053 0 0 0 0 0 0 0 
_1.ptx 1142 : 50745 335194 0 0 0 0 0 0 0 
_1.ptx 1157 : 50745 330956 0 0 0 0 0 0 0 
_1.ptx 1158 : 50745 428056 0 0 0 0 0 0 0 
_1.ptx 1159 : 50745 330383 0 0 0 0 0 0 0 
_1.ptx 1181 : 50745 328935 0 0 0 0 0 0 0 
_1.ptx 1182 : 50745 424840 0 0 0 0 0 0 0 
_1.ptx 1183 : 50745 330706 0 0 0 0 0 0 0 
_1.ptx 1196 : 50745 372731 0 0 0 0 0 0 0 
_1.ptx 1197 : 50745 376186 0 0 0 0 0 0 0 
