kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68734 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68734 6533658 0 0 0 0 0 0 0 
_1.ptx 99 : 68734 488321 0 0 0 0 0 0 0 
_1.ptx 100 : 68734 699978 0 0 0 0 0 0 0 
_1.ptx 101 : 68734 759330 0 0 0 0 0 0 0 
_1.ptx 105 : 415296 197158831 3618048 0 0 204218 58437 0 0 
_1.ptx 106 : 415296 2922988 0 0 0 0 0 0 0 
_1.ptx 107 : 415296 4576731 0 0 0 0 0 0 0 
_1.ptx 108 : 415296 258503202 65920 0 0 413890 58437 0 0 
_1.ptx 109 : 415296 2513497 0 0 0 0 0 0 0 
_1.ptx 110 : 415296 3328960 0 0 0 0 0 0 0 
_1.ptx 111 : 415296 1410521 0 0 0 0 0 0 26645 
_1.ptx 113 : 180894 14803251 0 0 0 0 0 0 0 
_1.ptx 114 : 180894 1835197 0 0 0 0 0 0 0 
_1.ptx 115 : 180894 1996732 0 0 0 0 0 0 0 
_1.ptx 116 : 180894 52429345 34432 0 0 39875 39875 0 0 
_1.ptx 117 : 180894 1818034 0 0 0 0 0 0 0 
_1.ptx 118 : 180894 1831834 0 0 0 0 0 0 0 
_1.ptx 119 : 180894 1994691 0 0 0 0 0 0 0 
_1.ptx 120 : 180894 27373411 154016 0 0 180517 39875 0 0 
_1.ptx 122 : 180894 1093996 0 0 0 0 0 0 0 
_1.ptx 123 : 180894 1997442 0 0 0 0 0 0 0 
_1.ptx 124 : 180894 31497812 8032 0 0 180517 39875 0 0 
_1.ptx 126 : 180894 1095525 0 0 0 0 0 0 0 
_1.ptx 127 : 180894 23486017 0 0 0 0 0 0 0 
_1.ptx 128 : 180894 15840846 32 0 0 39875 39875 0 0 
_1.ptx 129 : 180894 55232321 49152 0 0 62694 39875 0 0 
_1.ptx 130 : 180894 46846014 896 0 0 62694 39875 0 0 
_1.ptx 131 : 180894 1996805 0 0 0 0 0 0 0 
_1.ptx 134 : 415296 4171751 0 0 0 0 0 0 0 
_1.ptx 135 : 415296 4172795 0 0 0 0 0 0 0 
_1.ptx 136 : 415296 3338703 0 0 0 0 0 0 0 
_1.ptx 137 : 415296 2087317 0 0 0 0 0 0 25917 
_1.ptx 141 : 524288 3283840 0 0 0 0 0 0 0 
_1.ptx 66 : 524288 3312512 0 0 0 0 0 0 0 
_1.ptx 67 : 524288 7932032 0 0 0 0 0 0 0 
_1.ptx 68 : 524288 3668672 0 0 0 0 0 0 0 
_1.ptx 69 : 524288 6178304 0 0 0 0 0 0 0 
_1.ptx 70 : 524288 10724800 128 0 0 0 0 0 0 
_1.ptx 71 : 524288 4330656 0 0 0 0 0 0 0 
_1.ptx 72 : 524288 0 0 0 0 0 0 0 0 
_1.ptx 73 : 524288 4079840 0 0 0 0 0 0 0 
_1.ptx 74 : 524288 7317536 0 0 0 0 0 0 0 
_1.ptx 75 : 524288 5832960 0 0 0 0 0 0 0 
_1.ptx 76 : 524288 118706944 106496 0 0 16384 16384 0 0 
_1.ptx 77 : 524288 3236352 0 0 0 0 0 0 0 
_1.ptx 78 : 524288 4327616 0 0 0 0 0 0 0 
_1.ptx 79 : 524288 2939320 0 0 0 0 0 0 6325 
_1.ptx 81 : 68734 422192 0 0 0 0 0 0 0 
_1.ptx 82 : 68734 4218876 0 0 0 6327 6327 0 0 
_1.ptx 84 : 68734 3719879 0 0 0 0 0 0 0 
_1.ptx 85 : 68734 420282 0 0 0 0 0 0 0 
_1.ptx 86 : 68734 761987 0 0 0 0 0 0 0 
_1.ptx 87 : 68734 5074330 32 0 0 6327 6327 0 0 
_1.ptx 89 : 68734 4376096 0 0 0 0 0 0 0 
_1.ptx 90 : 68734 698907 0 0 0 0 0 0 0 
_1.ptx 91 : 68734 761685 0 0 0 0 0 0 0 
_1.ptx 92 : 68734 42469697 1395584 0 0 11058 6327 0 0 
_1.ptx 93 : 68734 483497 0 0 0 0 0 0 0 
_1.ptx 94 : 68734 10215297 4480 0 0 11058 6327 0 0 
_1.ptx 95 : 68734 759533 0 0 0 0 0 0 0 
_1.ptx 96 : 68734 554580 0 0 0 0 0 0 0 
