kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 114859392 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 29084832 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1322176 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1331744 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13019072 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 31611680 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 41016800 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 46613088 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 21412096 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 30079648 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1302784 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1304800 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3187008 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1297952 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2392256 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 52314976 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1755232 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 66880 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 48054880 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1283072 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1673504 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1492320 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2298624 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1467136 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2275648 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1449376 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2298144 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 47602784 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1441920 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2391072 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2265696 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 68154400 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1469408 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2257344 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2265280 0 0 0 0 0 0 0 
_1.ptx 89 : 204800 1512032 0 0 0 0 0 0 0 
_1.ptx 93 : 6963200 5514203104 59894912 0 0 6963200 217600 0 0 
_1.ptx 94 : 6963200 2282951264 27852800 0 0 217600 217600 0 0 
_1.ptx 95 : 6963200 69892736 0 0 0 0 0 0 0 
_1.ptx 96 : 6963200 69767136 0 0 0 0 0 0 0 
_1.ptx 97 : 6963200 76749216 0 0 0 0 0 0 0 
_1.ptx 98 : 6963200 55977536 0 0 0 0 0 0 0 
_1.ptx 99 : 6963200 40599808 0 0 0 0 0 0 0 
_1.ptx 103 : 215296 1296032 0 0 0 0 0 0 0 
_1.ptx 125 : 4090624 28061952 0 0 0 0 0 0 0 
_1.ptx 126 : 4090624 28241088 0 0 0 0 0 0 0 
_1.ptx 127 : 4090624 55774464 0 0 0 0 0 0 0 
_1.ptx 128 : 4090624 28251808 0 0 0 0 0 0 0 
_1.ptx 129 : 4090624 48879008 0 0 0 0 0 0 0 
_1.ptx 130 : 4090624 28891488 0 0 0 0 0 0 0 
_1.ptx 131 : 4090624 51690176 0 0 0 0 0 0 0 
_1.ptx 132 : 4090624 29036032 0 0 0 0 0 0 0 
_1.ptx 133 : 4090624 53260896 0 0 0 0 0 0 0 
_1.ptx 134 : 4090624 28902208 0 0 0 0 0 0 0 
_1.ptx 135 : 4090624 47704704 0 0 0 0 0 0 0 
_1.ptx 136 : 4090624 12949888 0 0 0 0 0 0 0 
_1.ptx 137 : 4090624 35908032 0 0 0 0 0 0 0 
_1.ptx 138 : 4090624 1337088 0 0 0 0 0 0 0 
_1.ptx 139 : 3891200 12287744 0 0 0 0 0 0 0 
_1.ptx 140 : 3891200 26366496 0 0 0 0 0 0 0 
_1.ptx 141 : 3891200 33702880 0 0 0 0 0 0 0 
_1.ptx 142 : 3891200 0 0 0 0 0 0 0 0 
_1.ptx 143 : 3891200 30160768 0 0 0 0 0 0 0 
_1.ptx 144 : 3891200 12253344 0 0 0 0 0 0 0 
_1.ptx 145 : 3891200 26500448 0 0 0 0 0 0 0 
_1.ptx 146 : 3891200 33878496 0 0 0 0 0 0 0 
_1.ptx 147 : 3891200 27341184 0 0 0 0 0 0 0 
_1.ptx 148 : 3891200 27318528 0 0 0 0 0 0 0 
_1.ptx 149 : 3891200 26885760 0 0 0 0 0 0 0 
_1.ptx 150 : 3891200 27131552 0 0 0 0 0 0 0 
_1.ptx 151 : 3891200 30972000 0 0 0 0 0 0 0 
_1.ptx 154 : 19456000 0 0 0 0 0 0 0 0 
_1.ptx 155 : 19456000 159883680 0 0 0 0 0 0 0 
_1.ptx 156 : 19456000 222357952 0 0 0 0 0 0 0 
_1.ptx 157 : 19456000 161623456 0 0 0 0 0 0 0 
_1.ptx 158 : 19456000 231170176 0 0 0 0 0 0 0 
_1.ptx 159 : 19456000 166859136 0 0 0 0 0 0 0 
_1.ptx 160 : 19456000 205999616 0 0 0 0 0 0 0 
_1.ptx 161 : 19456000 232413728 0 0 0 0 0 0 0 
_1.ptx 162 : 19456000 164477280 0 0 0 0 0 0 0 
_1.ptx 163 : 19456000 146856128 0 0 0 0 0 0 0 
_1.ptx 164 : 19456000 161558176 0 0 0 0 0 0 0 
_1.ptx 168 : 661504000 5780831136 0 0 0 0 0 0 0 
_1.ptx 169 : 661504000 5016204384 0 0 0 0 0 0 0 
_1.ptx 170 : 661504000 5660753760 0 0 0 0 0 0 0 
_1.ptx 171 : 661504000 4947508352 0 0 0 0 0 0 0 
_1.ptx 172 : 661504000 5637732832 0 0 0 0 0 0 0 
_1.ptx 173 : 661504000 4912212960 0 0 0 0 0 0 0 
_1.ptx 174 : 661504000 5505042400 0 0 0 0 0 0 0 
_1.ptx 175 : 661504000 243661303040 2646016000 0 0 0 0 0 0 
_1.ptx 176 : 661504000 5466446368 0 0 0 0 0 0 0 
_1.ptx 178 : 661504000 3094800992 1408 0 0 0 0 0 0 
_1.ptx 179 : 661504000 7986033248 0 0 0 0 0 0 0 
_1.ptx 180 : 661504000 6764401632 0 0 0 0 0 0 0 
_1.ptx 181 : 661504000 7729945920 0 0 0 0 0 0 0 
_1.ptx 182 : 661504000 7681687104 0 0 0 0 0 0 0 
_1.ptx 183 : 661504000 8209851200 0 0 0 0 0 0 0 
_1.ptx 184 : 661504000 6237703136 0 0 0 0 0 0 0 
_1.ptx 185 : 661504000 4955706624 0 0 0 0 0 0 0 
_1.ptx 186 : 19456000 153171680 0 0 0 0 0 0 0 
_1.ptx 190 : 19456000 177187904 0 0 0 0 0 0 0 
_1.ptx 191 : 19456000 94288490 0 0 0 0 0 0 10162 
_1.ptx 193 : 6990785 58294888 0 0 0 0 0 0 0 
_1.ptx 195 : 6990785 60094148 0 0 0 0 0 0 0 
_1.ptx 197 : 19456000 221064320 0 0 0 0 0 0 0 
_1.ptx 198 : 19456000 177279360 0 0 0 0 0 0 0 
