kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 114782912 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 29032288 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1292096 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1294464 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13072064 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 31495296 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 40900000 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 46581216 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 21317696 14079616 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 29951488 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1296064 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1297184 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3211104 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1296032 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2395200 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 86048608 256 0 0 0 0 0 0 
_1.ptx 69 : 215296 1749664 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 67296 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 73315424 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1292672 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1669600 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1481856 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2344736 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1464480 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2274272 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1453792 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2261792 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 80762688 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1444288 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2309728 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2270496 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 104087040 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1472384 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2289632 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2265280 0 0 0 0 0 0 0 
_1.ptx 89 : 204800 1525824 0 0 0 0 0 0 0 
_1.ptx 93 : 6963200 10221281728 30564864 0 0 6963200 217600 0 0 
_1.ptx 94 : 6963200 5453165376 27807872 0 0 217600 217600 0 0 
_1.ptx 95 : 6963200 69863744 0 0 0 0 0 0 0 
_1.ptx 96 : 6963200 69798848 0 0 0 0 0 0 0 
_1.ptx 97 : 6963200 76675264 0 0 0 0 0 0 0 
_1.ptx 98 : 6963200 55958176 0 0 0 0 0 0 0 
_1.ptx 99 : 6963200 40564864 0 0 0 0 0 0 0 
_1.ptx 103 : 215296 1293760 0 0 0 0 0 0 0 
_1.ptx 125 : 4090624 28085120 0 0 0 0 0 0 0 
_1.ptx 126 : 4090624 28267936 0 0 0 0 0 0 0 
_1.ptx 127 : 4090624 55681312 0 0 0 0 0 0 0 
_1.ptx 128 : 4090624 28186720 0 0 0 0 0 0 0 
_1.ptx 129 : 4090624 48676096 0 0 0 0 0 0 0 
_1.ptx 130 : 4090624 28675232 0 0 0 0 0 0 0 
_1.ptx 131 : 4090624 51663968 0 0 0 0 0 0 0 
_1.ptx 132 : 4090624 28662560 0 0 0 0 0 0 0 
_1.ptx 133 : 4090624 53298272 0 0 0 0 0 0 0 
_1.ptx 134 : 4090624 28443456 0 0 0 0 0 0 0 
_1.ptx 135 : 4090624 47483808 0 0 0 0 0 0 0 
_1.ptx 136 : 4090624 12868992 0 0 0 0 0 0 0 
_1.ptx 137 : 4090624 35637696 0 0 0 0 0 0 0 
_1.ptx 138 : 4090624 1309248 0 0 0 0 0 0 0 
_1.ptx 139 : 3891200 12204000 0 0 0 0 0 0 0 
_1.ptx 140 : 3891200 26018400 0 0 0 0 0 0 0 
_1.ptx 141 : 3891200 33428032 0 0 0 0 0 0 0 
_1.ptx 142 : 3891200 0 0 0 0 0 0 0 0 
_1.ptx 143 : 3891200 29852480 0 0 0 0 0 0 0 
_1.ptx 144 : 3891200 12150528 0 0 0 0 0 0 0 
_1.ptx 145 : 3891200 26219264 0 0 0 0 0 0 0 
_1.ptx 146 : 3891200 33621376 0 0 0 0 0 0 0 
_1.ptx 147 : 3891200 27109024 0 0 0 0 0 0 0 
_1.ptx 148 : 3891200 27018112 0 0 0 0 0 0 0 
_1.ptx 149 : 3891200 26639552 0 0 0 0 0 0 0 
_1.ptx 150 : 3891200 26873536 0 0 0 0 0 0 0 
_1.ptx 151 : 3891200 30645888 0 0 0 0 0 0 0 
_1.ptx 154 : 19456000 0 0 0 0 0 0 0 0 
_1.ptx 155 : 19456000 159243168 0 0 0 0 0 0 0 
_1.ptx 156 : 19456000 221857600 0 0 0 0 0 0 0 
_1.ptx 157 : 19456000 160618304 0 0 0 0 0 0 0 
_1.ptx 158 : 19456000 230234144 0 0 0 0 0 0 0 
_1.ptx 159 : 19456000 165722048 0 0 0 0 0 0 0 
_1.ptx 160 : 19456000 205374688 0 0 0 0 0 0 0 
