kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2076288 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2259232 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 3019168 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2821792 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2075200 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1810752 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2215680 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 2999136 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 2025152 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 2001856 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2867296 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 5930048 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2974560 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 4446528 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 3002208 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1756960 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2043040 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 406457760 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 407910464 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9740512 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10916032 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10984960 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10978528 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8807744 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 5125792 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1714496 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 6325056 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2964000 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2980416 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2217472 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1315968 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 437728 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4493504 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5560384 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3222832 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1580860 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1402851 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1605243 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2258250 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2385573 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2780508 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2926027 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2356183 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1658517 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2802405 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2290722 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 4110044 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 3607594 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 3009408 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 3133221 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 3025794 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 3026305 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 210400 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 3074731 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 240640 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2326659 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 4814048 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 476256 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 277248 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 234080 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 5294656 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 230208 0 0 0 0 0 0 0 
_1.ptx 170 : 655360 4653120 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 280736 0 0 0 0 0 0 0 
_1.ptx 171 : 655360 5725184 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 234048 0 0 0 0 0 0 0 
_1.ptx 172 : 655360 4170496 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 234624 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 487698 0 0 0 0 0 0 256 
_1.ptx 76 : 32768 280704 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 220320 0 0 0 0 0 0 0 
_1.ptx 175 : 256 5957 0 256 256 0 0 0 0 
_1.ptx 78 : 32768 218944 0 0 0 0 0 0 0 
_1.ptx 176 : 256 3861 0 0 0 0 0 0 0 
_1.ptx 177 : 256 1985 0 0 0 0 0 0 0 
_1.ptx 178 : 256 2766 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 179 : 256 2947 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 542944 0 0 0 0 0 0 0 
_1.ptx 180 : 256 5840 352 0 0 256 256 0 0 
_1.ptx 83 : 65536 562048 0 0 0 0 0 0 0 
_1.ptx 84 : 65536 778112 0 0 0 0 0 0 0 
_1.ptx 182 : 65536 763008 0 0 0 0 0 0 0 
_1.ptx 85 : 65536 564320 0 0 0 0 0 0 0 
_1.ptx 183 : 65536 574912 0 0 0 0 0 0 0 
_1.ptx 86 : 65536 524576 0 0 0 0 0 0 0 
_1.ptx 184 : 65536 228928 0 0 0 0 0 0 0 
_1.ptx 87 : 65536 550368 0 0 0 0 0 0 0 
_1.ptx 88 : 65536 779008 0 0 0 0 0 0 0 
_1.ptx 89 : 65536 745632 0 0 0 0 0 0 0 
_1.ptx 187 : 32768 235616 0 0 0 0 0 0 0 
_1.ptx 90 : 65536 996832 0 0 0 0 0 0 0 
_1.ptx 91 : 65536 1049920 0 0 0 0 0 0 0 
