kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3051396 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 597824 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 617826 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5557508 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5602459 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3784916 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4464855 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2664623 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 906243 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1100568 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1018961 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 884195 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1100237 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1006441 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1100971 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 888377 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1087908 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 440955 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 678545 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 509417 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 492023 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 802234 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 716983 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 319968 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 309425 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 315879 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 316107 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 302039 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 307993 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 303140 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 705748 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 708784 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 709698 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 720395 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 727580 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 721139 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 319940 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 436814 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 535642 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 128617 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 308939 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 308092 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 310944 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 299017 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 72050 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 218660 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 219845 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 222729 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 225177 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 226506 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 182666 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 183828 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 637420 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 234029 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 237378 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 244090 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 726492 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 728846 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 746382 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 765096 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 612822 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 603350 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 1898834 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 734067 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 732421 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 745978 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 716185 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 598442 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 598110 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 424232 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 539264 0 0 0 0 0 0 0 
