kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 846 0 0 0 0 0 0 0 0 
_1.ptx 98 : 846 9403 0 0 0 0 0 0 0 
_1.ptx 99 : 846 6027 0 0 0 0 0 0 0 
_1.ptx 100 : 846 8668 0 0 0 0 0 0 0 
_1.ptx 101 : 846 9376 0 0 0 0 0 0 0 
_1.ptx 105 : 6040 1073633 831488 0 0 5858 4848 0 0 
_1.ptx 106 : 6040 42792 0 0 0 0 0 0 0 
_1.ptx 107 : 6040 66698 0 0 0 0 0 0 0 
_1.ptx 108 : 6040 1893651 261120 0 0 6039 4848 0 0 
_1.ptx 109 : 6040 36724 0 0 0 0 0 0 0 
_1.ptx 110 : 6040 48603 0 0 0 0 0 0 0 
_1.ptx 111 : 6040 5369 0 0 0 0 0 0 277 
_1.ptx 113 : 5152 73140 0 0 0 0 0 0 0 
_1.ptx 114 : 5152 52420 0 0 0 0 0 0 0 
_1.ptx 115 : 5152 56935 0 0 0 0 0 0 0 
_1.ptx 116 : 5152 505840 1024 0 0 4277 4277 0 0 
_1.ptx 117 : 5152 51874 0 0 0 0 0 0 0 
_1.ptx 118 : 5152 52302 0 0 0 0 0 0 0 
_1.ptx 119 : 5152 56898 0 0 0 0 0 0 0 
_1.ptx 120 : 5152 102653 35680 0 0 5151 4277 0 0 
_1.ptx 122 : 5152 31257 0 0 0 0 0 0 0 
_1.ptx 123 : 5152 56894 0 0 0 0 0 0 0 
_1.ptx 124 : 5152 117700 0 0 0 5151 4277 0 0 
_1.ptx 126 : 5152 31258 0 0 0 0 0 0 0 
_1.ptx 127 : 5152 94372 0 0 0 0 0 0 0 
_1.ptx 128 : 5152 91221 32 0 0 4277 4277 0 0 
_1.ptx 129 : 5152 419788 0 0 0 4693 4277 0 0 
_1.ptx 130 : 5152 402675 0 0 0 4693 4277 0 0 
_1.ptx 131 : 5152 56963 0 0 0 0 0 0 0 
_1.ptx 134 : 6040 60851 0 0 0 0 0 0 0 
_1.ptx 135 : 6040 60912 0 0 0 0 0 0 0 
_1.ptx 136 : 6040 48731 0 0 0 0 0 0 0 
_1.ptx 137 : 6040 31427 0 0 0 0 0 0 178 
_1.ptx 141 : 262144 1678976 0 0 0 0 0 0 0 
_1.ptx 66 : 262144 1700000 0 0 0 0 0 0 0 
_1.ptx 67 : 262144 3943552 0 0 0 0 0 0 0 
_1.ptx 68 : 262144 1883136 0 0 0 0 0 0 0 
_1.ptx 69 : 262144 3110816 0 0 0 0 0 0 0 
_1.ptx 70 : 262144 5982976 1024 0 0 0 0 0 0 
_1.ptx 71 : 262144 2167008 0 0 0 0 0 0 0 
_1.ptx 72 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 73 : 262144 2050784 0 0 0 0 0 0 0 
_1.ptx 74 : 262144 924512 0 0 0 0 0 0 0 
_1.ptx 75 : 262144 2922496 0 0 0 0 0 0 0 
_1.ptx 76 : 262144 58564800 262144 0 0 8192 8192 0 0 
_1.ptx 77 : 262144 1623296 0 0 0 0 0 0 0 
_1.ptx 78 : 262144 2182464 0 0 0 0 0 0 0 
_1.ptx 79 : 262144 1703217 0 0 0 0 0 0 638 
_1.ptx 81 : 846 5320 0 0 0 0 0 0 0 
_1.ptx 82 : 846 9750 0 0 0 638 638 0 0 
_1.ptx 84 : 846 7066 0 0 0 0 0 0 0 
_1.ptx 85 : 846 5241 0 0 0 0 0 0 0 
_1.ptx 86 : 846 9399 0 0 0 0 0 0 0 
_1.ptx 87 : 846 10469 32 0 0 638 638 0 0 
_1.ptx 89 : 846 8291 0 0 0 0 0 0 0 
_1.ptx 90 : 846 8678 0 0 0 0 0 0 0 
_1.ptx 91 : 846 9430 0 0 0 0 0 0 0 
_1.ptx 92 : 846 560599 636928 0 0 737 638 0 0 
_1.ptx 93 : 846 5986 0 0 0 0 0 0 0 
_1.ptx 94 : 846 14597 0 0 0 737 638 0 0 
_1.ptx 95 : 846 9362 0 0 0 0 0 0 0 
_1.ptx 96 : 846 6849 0 0 0 0 0 0 0 
