kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 1970816 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2187904 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 2954368 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2728000 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 1968608 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1684896 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2156864 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 2950080 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 1946880 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 1908544 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2829088 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 18810080 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2928640 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 16581600 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 2949408 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1677056 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 1976384 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 1262296928 20718592 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 1201826752 20791296 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9561696 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10769312 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10681376 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10723200 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8565376 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 4849056 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1616608 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 20100480 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2921664 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2929600 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2149600 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1225824 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 413568 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4247136 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5403136 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3037113 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1506782 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1360611 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1565864 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2236699 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2355079 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2880983 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2968744 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2303900 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1574298 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2912316 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2242374 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 7918517 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 6052068 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 2978145 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 7089525 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 2981084 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 2987013 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 204160 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 3033648 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 236480 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2271878 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 5735424 1024 0 0 0 0 0 0 
_1.ptx 166 : 261888 455584 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 277920 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 233696 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 5040768 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 229984 0 0 0 0 0 0 0 
_1.ptx 170 : 655360 4408960 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 286240 0 0 0 0 0 0 0 
_1.ptx 171 : 655360 5555456 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 238336 0 0 0 0 0 0 0 
_1.ptx 172 : 655360 3975392 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 238656 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 463668 0 0 0 0 0 0 256 
_1.ptx 76 : 32768 289088 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 228352 0 0 0 0 0 0 0 
_1.ptx 175 : 256 11339 0 256 256 0 0 0 0 
_1.ptx 78 : 32768 229984 0 0 0 0 0 0 0 
_1.ptx 176 : 256 7274 0 0 0 0 0 0 0 
_1.ptx 177 : 256 1908 0 0 0 0 0 0 0 
_1.ptx 178 : 256 2656 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 179 : 256 2881 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 1630976 0 0 0 0 0 0 0 
_1.ptx 180 : 256 9897 384 0 0 256 256 0 0 
_1.ptx 83 : 65536 559136 0 0 0 0 0 0 0 
_1.ptx 84 : 65536 778496 0 0 0 0 0 0 0 
_1.ptx 182 : 65536 745088 0 0 0 0 0 0 0 
_1.ptx 85 : 65536 556320 0 0 0 0 0 0 0 
_1.ptx 183 : 65536 549696 0 0 0 0 0 0 0 
_1.ptx 86 : 65536 503648 0 0 0 0 0 0 0 
_1.ptx 184 : 65536 213024 0 0 0 0 0 0 0 
_1.ptx 87 : 65536 547104 0 0 0 0 0 0 0 
_1.ptx 88 : 65536 773888 0 0 0 0 0 0 0 
_1.ptx 89 : 65536 738048 0 0 0 0 0 0 0 
_1.ptx 187 : 32768 218944 0 0 0 0 0 0 0 
_1.ptx 90 : 65536 867968 0 0 0 0 0 0 0 
_1.ptx 91 : 65536 922784 0 0 0 0 0 0 0 
_1.ptx 92 : 65536 782816 0 0 0 0 0 0 0 
_1.ptx 96 : 262144 1974176 0 0 0 0 0 0 0 
