kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 114117056 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 29155680 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1377760 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1395456 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13248960 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 31659680 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 41050464 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 46855360 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 21509696 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 30405312 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1297472 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1298784 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3206144 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1296160 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2394048 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 85402848 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1750304 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 67616 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 70968800 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1295904 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1669952 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1480224 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2298016 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1463520 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2274592 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1447680 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2296288 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 78181600 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1442464 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2407104 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2268512 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 105157056 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1466752 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2266048 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2265440 0 0 0 0 0 0 0 
_1.ptx 89 : 204800 1523264 0 0 0 0 0 0 0 
_1.ptx 93 : 6963200 10192163680 27876992 0 0 6963200 217600 0 0 
_1.ptx 94 : 6963200 5443378080 27852800 0 0 217600 217600 0 0 
_1.ptx 95 : 6963200 69866656 0 0 0 0 0 0 0 
_1.ptx 96 : 6963200 69797856 0 0 0 0 0 0 0 
_1.ptx 97 : 6963200 76673664 0 0 0 0 0 0 0 
_1.ptx 98 : 6963200 55958720 0 0 0 0 0 0 0 
_1.ptx 99 : 6963200 40569024 0 0 0 0 0 0 0 
_1.ptx 103 : 215296 1294048 0 0 0 0 0 0 0 
_1.ptx 125 : 4090624 29443584 0 0 0 0 0 0 0 
_1.ptx 126 : 4090624 29688064 0 0 0 0 0 0 0 
_1.ptx 127 : 4090624 53625216 0 0 0 0 0 0 0 
_1.ptx 128 : 4090624 29529024 0 0 0 0 0 0 0 
_1.ptx 129 : 4090624 49746880 0 0 0 0 0 0 0 
_1.ptx 130 : 4090624 29987488 0 0 0 0 0 0 0 
_1.ptx 131 : 4090624 51209984 0 0 0 0 0 0 0 
_1.ptx 132 : 4090624 30083168 0 0 0 0 0 0 0 
_1.ptx 133 : 4090624 51508032 0 0 0 0 0 0 0 
_1.ptx 134 : 4090624 30088992 0 0 0 0 0 0 0 
_1.ptx 135 : 4090624 48262592 0 0 0 0 0 0 0 
_1.ptx 136 : 4090624 13190816 0 0 0 0 0 0 0 
_1.ptx 137 : 4090624 36507488 0 0 0 0 0 0 0 
_1.ptx 138 : 4090624 1390496 0 0 0 0 0 0 0 
_1.ptx 139 : 3891200 12504544 0 0 0 0 0 0 0 
_1.ptx 140 : 3891200 27074816 0 0 0 0 0 0 0 
_1.ptx 141 : 3891200 34278656 0 0 0 0 0 0 0 
_1.ptx 142 : 3891200 0 0 0 0 0 0 0 0 
_1.ptx 143 : 3891200 30713888 0 0 0 0 0 0 0 
_1.ptx 144 : 3891200 12488320 0 0 0 0 0 0 0 
_1.ptx 145 : 3891200 26839424 0 0 0 0 0 0 0 
_1.ptx 146 : 3891200 34196864 0 0 0 0 0 0 0 
_1.ptx 147 : 3891200 27578720 0 0 0 0 0 0 0 
_1.ptx 148 : 3891200 27746080 0 0 0 0 0 0 0 
_1.ptx 149 : 3891200 27168032 0 0 0 0 0 0 0 
_1.ptx 150 : 3891200 27339520 0 0 0 0 0 0 0 
_1.ptx 151 : 3891200 31362368 0 0 0 0 0 0 0 
_1.ptx 154 : 19456000 0 0 0 0 0 0 0 0 
_1.ptx 155 : 19456000 159748096 0 0 0 0 0 0 0 
_1.ptx 156 : 19456000 222759392 0 0 0 0 0 0 0 
_1.ptx 157 : 19456000 161198592 0 0 0 0 0 0 0 
