kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68679 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68679 8433846 0 0 0 0 0 0 0 
_1.ptx 99 : 68679 485072 0 0 0 0 0 0 0 
_1.ptx 100 : 68679 694374 0 0 0 0 0 0 0 
_1.ptx 101 : 68679 758409 0 0 0 0 0 0 0 
_1.ptx 105 : 414791 259302242 3741312 0 0 204655 58274 0 0 
_1.ptx 106 : 414791 2911357 0 0 0 0 0 0 0 
_1.ptx 107 : 414791 4567372 0 0 0 0 0 0 0 
_1.ptx 108 : 414791 290448918 68992 0 0 413387 58274 0 0 
_1.ptx 109 : 414791 2496667 0 0 0 0 0 0 0 
_1.ptx 110 : 414791 3322784 0 0 0 0 0 0 0 
_1.ptx 111 : 414791 1406506 0 0 0 0 0 0 26788 
_1.ptx 113 : 180673 18961823 0 0 0 0 0 0 0 
_1.ptx 114 : 180673 1822752 0 0 0 0 0 0 0 
_1.ptx 115 : 180673 1991896 0 0 0 0 0 0 0 
_1.ptx 116 : 180673 84872596 54656 0 0 39960 39960 0 0 
_1.ptx 117 : 180673 1810442 0 0 0 0 0 0 0 
_1.ptx 118 : 180673 1814211 0 0 0 0 0 0 0 
_1.ptx 119 : 180673 1989915 0 0 0 0 0 0 0 
_1.ptx 120 : 180673 30901768 217696 0 0 180306 39960 0 0 
_1.ptx 122 : 180673 1087342 0 0 0 0 0 0 0 
_1.ptx 123 : 180673 1992789 0 0 0 0 0 0 0 
_1.ptx 124 : 180673 36182382 12000 0 0 180306 39960 0 0 
_1.ptx 126 : 180673 1087133 0 0 0 0 0 0 0 
_1.ptx 127 : 180673 28158538 0 0 0 0 0 0 0 
_1.ptx 128 : 180673 20378718 32 0 0 39960 39960 0 0 
_1.ptx 129 : 180673 92782134 90112 0 0 62888 39960 0 0 
_1.ptx 130 : 180673 80740093 768 0 0 62888 39960 0 0 
_1.ptx 131 : 180673 1990326 0 0 0 0 0 0 0 
_1.ptx 134 : 414791 4156295 0 0 0 0 0 0 0 
_1.ptx 135 : 414791 4161206 0 0 0 0 0 0 0 
_1.ptx 136 : 414791 3325958 0 0 0 0 0 0 0 
_1.ptx 137 : 414791 2079805 0 0 0 0 0 0 25951 
_1.ptx 141 : 589824 3716288 0 0 0 0 0 0 0 
_1.ptx 66 : 589824 3740576 0 0 0 0 0 0 0 
_1.ptx 67 : 589824 8942144 0 0 0 0 0 0 0 
_1.ptx 68 : 589824 4142624 0 0 0 0 0 0 0 
_1.ptx 69 : 589824 6958496 0 0 0 0 0 0 0 
_1.ptx 70 : 589824 12094752 128 0 0 0 0 0 0 
_1.ptx 71 : 589824 4860000 0 0 0 0 0 0 0 
_1.ptx 72 : 589824 0 0 0 0 0 0 0 0 
_1.ptx 73 : 589824 4595552 0 0 0 0 0 0 0 
_1.ptx 74 : 589824 8574656 0 0 0 0 0 0 0 
_1.ptx 75 : 589824 6562016 0 0 0 0 0 0 0 
_1.ptx 76 : 589824 134645248 107264 0 0 18432 18432 0 0 
_1.ptx 77 : 589824 3632480 0 0 0 0 0 0 0 
_1.ptx 78 : 589824 4866912 0 0 0 0 0 0 0 
_1.ptx 79 : 589824 3359292 0 0 0 0 0 0 6313 
_1.ptx 81 : 68679 420409 0 0 0 0 0 0 0 
_1.ptx 82 : 68679 5093633 32 0 0 6313 6313 0 0 
_1.ptx 84 : 68679 4289836 0 0 0 0 0 0 0 
_1.ptx 85 : 68679 417325 0 0 0 0 0 0 0 
_1.ptx 86 : 68679 760980 0 0 0 0 0 0 0 
_1.ptx 87 : 68679 5683817 64 0 0 6313 6313 0 0 
_1.ptx 89 : 68679 4949523 0 0 0 0 0 0 0 
_1.ptx 90 : 68679 694099 0 0 0 0 0 0 0 
_1.ptx 91 : 68679 760401 0 0 0 0 0 0 0 
_1.ptx 92 : 68679 44373071 1399040 0 0 11076 6313 0 0 
_1.ptx 93 : 68679 482529 0 0 0 0 0 0 0 
_1.ptx 94 : 68679 17372165 6656 0 0 11076 6313 0 0 
_1.ptx 95 : 68679 757260 0 0 0 0 0 0 0 
_1.ptx 96 : 68679 552277 0 0 0 0 0 0 0 
