kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3058978 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 590576 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 614814 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5562550 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5602084 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3785228 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4472488 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2658989 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 909174 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1101041 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1024817 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 893952 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1102190 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1009439 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1105253 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 894946 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1094954 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 447123 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 682762 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 511434 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 485678 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 800534 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 718205 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 327156 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 321219 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 314895 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 317270 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 313144 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 316974 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 306000 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 705662 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 708870 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 713894 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 721900 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 729445 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 722288 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 349682 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 441236 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 537437 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 129270 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 311176 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 306966 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 311510 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 297819 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 67135 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 219147 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 221764 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 223452 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 225191 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 226522 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 182212 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 183993 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 639545 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 245655 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 245920 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 242394 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 728253 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 726303 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 742610 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 773144 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 615735 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 605462 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 1976797 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 739166 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 742238 0 0 0 0 0 0 0 
