kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2071872 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2258688 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 3013152 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2821824 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2080288 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1813344 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2217824 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 2996640 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 2021632 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 2005632 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2865856 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 5576736 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2973536 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 4484000 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 3004832 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1761600 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2046976 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 406449184 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 407007392 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9740992 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10924928 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10989472 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10984640 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8806112 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 5132736 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1714304 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 6693088 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2963872 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2984160 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2219136 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1316832 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 436640 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4507456 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5568032 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3211048 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1584831 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1403229 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1609338 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2267355 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2390381 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2776557 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2937267 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2364355 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1667703 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2804955 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2298688 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 4040123 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 3468352 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 3015988 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 3114229 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 3028910 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 3033569 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 209568 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 3080898 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 238848 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2332848 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 4816256 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 475552 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 278848 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 233024 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 5284256 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 230112 0 0 0 0 0 0 0 
_1.ptx 170 : 655360 4649024 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 280864 0 0 0 0 0 0 0 
_1.ptx 171 : 655360 5728512 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 234208 0 0 0 0 0 0 0 
_1.ptx 172 : 655360 4192992 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 234048 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 485737 0 0 0 0 0 0 256 
_1.ptx 76 : 32768 280896 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 220128 0 0 0 0 0 0 0 
_1.ptx 175 : 256 5992 0 256 256 0 0 0 0 
_1.ptx 78 : 32768 219584 0 0 0 0 0 0 0 
_1.ptx 176 : 256 3944 0 0 0 0 0 0 0 
_1.ptx 177 : 256 1965 0 0 0 0 0 0 0 
_1.ptx 178 : 256 2719 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 179 : 256 2943 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 608480 0 0 0 0 0 0 0 
_1.ptx 180 : 256 4833 448 0 0 256 256 0 0 
_1.ptx 83 : 65536 562240 0 0 0 0 0 0 0 
_1.ptx 84 : 65536 774368 0 0 0 0 0 0 0 
_1.ptx 182 : 65536 761056 0 0 0 0 0 0 0 
_1.ptx 85 : 65536 560768 0 0 0 0 0 0 0 
_1.ptx 183 : 65536 570816 0 0 0 0 0 0 0 
_1.ptx 86 : 65536 518560 0 0 0 0 0 0 0 
_1.ptx 184 : 65536 228960 0 0 0 0 0 0 0 
_1.ptx 87 : 65536 554656 0 0 0 0 0 0 0 
_1.ptx 88 : 65536 781472 0 0 0 0 0 0 0 
_1.ptx 89 : 65536 747552 0 0 0 0 0 0 0 
_1.ptx 187 : 32768 233408 0 0 0 0 0 0 0 
_1.ptx 90 : 65536 999776 0 0 0 0 0 0 0 
_1.ptx 91 : 65536 1058368 0 0 0 0 0 0 0 
_1.ptx 92 : 65536 800736 0 0 0 0 0 0 0 
_1.ptx 96 : 262144 2078720 0 0 0 0 0 0 0 
