kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 114957088 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 29070752 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1311904 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1320448 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13013056 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 31606560 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 40986144 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 46623296 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 21402304 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 30061952 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1295840 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1297088 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3212768 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1295552 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2394144 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 85291360 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1750912 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 66880 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 71251136 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1295232 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1670464 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1480512 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2295936 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1462240 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2273568 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1446496 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2295264 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 77513760 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1441984 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2406912 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2268640 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 108332192 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1467104 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2263360 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2265856 0 0 0 0 0 0 0 
_1.ptx 89 : 204800 1525664 0 0 0 0 0 0 0 
_1.ptx 93 : 6963200 10204747808 35056256 0 0 6963200 217600 0 0 
_1.ptx 94 : 6963200 5438744000 27852800 0 0 217600 217600 0 0 
_1.ptx 95 : 6963200 69863264 0 0 0 0 0 0 0 
_1.ptx 96 : 6963200 69798784 0 0 0 0 0 0 0 
_1.ptx 97 : 6963200 76671936 0 0 0 0 0 0 0 
_1.ptx 98 : 6963200 55956352 0 0 0 0 0 0 0 
_1.ptx 99 : 6963200 40566912 0 0 0 0 0 0 0 
_1.ptx 103 : 215296 1294176 0 0 0 0 0 0 0 
_1.ptx 125 : 4090624 28036864 0 0 0 0 0 0 0 
_1.ptx 126 : 4090624 28217152 0 0 0 0 0 0 0 
_1.ptx 127 : 4090624 55871776 0 0 0 0 0 0 0 
_1.ptx 128 : 4090624 28208224 0 0 0 0 0 0 0 
_1.ptx 129 : 4090624 48817152 0 0 0 0 0 0 0 
_1.ptx 130 : 4090624 28825344 0 0 0 0 0 0 0 
_1.ptx 131 : 4090624 51703232 0 0 0 0 0 0 0 
_1.ptx 132 : 4090624 28986400 0 0 0 0 0 0 0 
_1.ptx 133 : 4090624 53368800 0 0 0 0 0 0 0 
_1.ptx 134 : 4090624 28845728 0 0 0 0 0 0 0 
_1.ptx 135 : 4090624 47704416 0 0 0 0 0 0 0 
_1.ptx 136 : 4090624 12936864 0 0 0 0 0 0 0 
_1.ptx 137 : 4090624 35903712 0 0 0 0 0 0 0 
_1.ptx 138 : 4090624 1329664 0 0 0 0 0 0 0 
_1.ptx 139 : 3891200 12288160 0 0 0 0 0 0 0 
_1.ptx 140 : 3891200 26353376 0 0 0 0 0 0 0 
_1.ptx 141 : 3891200 33691648 0 0 0 0 0 0 0 
_1.ptx 142 : 3891200 0 0 0 0 0 0 0 0 
_1.ptx 143 : 3891200 30168864 0 0 0 0 0 0 0 
_1.ptx 144 : 3891200 12264160 0 0 0 0 0 0 0 
_1.ptx 145 : 3891200 26527104 0 0 0 0 0 0 0 
_1.ptx 146 : 3891200 33877536 0 0 0 0 0 0 0 
_1.ptx 147 : 3891200 27349024 0 0 0 0 0 0 0 
_1.ptx 148 : 3891200 27335808 0 0 0 0 0 0 0 
_1.ptx 149 : 3891200 26883904 0 0 0 0 0 0 0 
_1.ptx 150 : 3891200 27149248 0 0 0 0 0 0 0 
_1.ptx 151 : 3891200 30975232 0 0 0 0 0 0 0 
_1.ptx 154 : 19456000 0 0 0 0 0 0 0 0 
_1.ptx 155 : 19456000 159899616 0 0 0 0 0 0 0 
_1.ptx 156 : 19456000 222311968 0 0 0 0 0 0 0 
_1.ptx 157 : 19456000 161625536 0 0 0 0 0 0 0 
_1.ptx 158 : 19456000 231088352 0 0 0 0 0 0 0 
_1.ptx 159 : 19456000 166829696 0 0 0 0 0 0 0 
_1.ptx 160 : 19456000 205945024 0 0 0 0 0 0 0 
_1.ptx 161 : 19456000 232407808 0 0 0 0 0 0 0 
_1.ptx 162 : 19456000 164467552 0 0 0 0 0 0 0 
_1.ptx 163 : 19456000 146802016 0 0 0 0 0 0 0 
_1.ptx 164 : 19456000 161551200 0 0 0 0 0 0 0 
_1.ptx 168 : 661504000 5781129472 0 0 0 0 0 0 0 
_1.ptx 169 : 661504000 5016315328 0 0 0 0 0 0 0 
_1.ptx 170 : 661504000 5660260864 0 0 0 0 0 0 0 
_1.ptx 171 : 661504000 4947383104 0 0 0 0 0 0 0 
_1.ptx 172 : 661504000 5637751072 0 0 0 0 0 0 0 
_1.ptx 173 : 661504000 4912040224 0 0 0 0 0 0 0 
_1.ptx 174 : 661504000 5504669920 0 0 0 0 0 0 0 
_1.ptx 175 : 661504000 243735136832 2646016000 0 0 0 0 0 0 
_1.ptx 176 : 661504000 5466235680 0 0 0 0 0 0 0 
_1.ptx 178 : 661504000 3094618240 1408 0 0 0 0 0 0 
_1.ptx 179 : 661504000 7985362080 0 0 0 0 0 0 0 
_1.ptx 180 : 661504000 6764475040 0 0 0 0 0 0 0 
_1.ptx 181 : 661504000 7730447776 0 0 0 0 0 0 0 
_1.ptx 182 : 661504000 7681915328 0 0 0 0 0 0 0 
_1.ptx 183 : 661504000 8210099200 0 0 0 0 0 0 0 
_1.ptx 184 : 661504000 6237724512 0 0 0 0 0 0 0 
_1.ptx 185 : 661504000 4956050624 0 0 0 0 0 0 0 
_1.ptx 186 : 19456000 153190528 0 0 0 0 0 0 0 
_1.ptx 190 : 19456000 177220800 0 0 0 0 0 0 0 
_1.ptx 191 : 19456000 94367602 0 0 0 0 0 0 10162 
_1.ptx 193 : 6990785 58324858 0 0 0 0 0 0 0 
_1.ptx 195 : 6990785 60100809 0 0 0 0 0 0 0 
_1.ptx 197 : 19456000 221109664 0 0 0 0 0 0 0 
_1.ptx 198 : 19456000 177247680 0 0 0 0 0 0 0 
