kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 433792 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 406848 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 415968 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 1367392 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 397088 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 709504 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 495360 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 7182112 256 0 0 0 0 0 0 
_1.ptx 75 : 61440 543840 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 2880064 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 436768 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 796576 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 449600 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 1515040 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 478464 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 1497440 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 473888 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 3349792 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 583808 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 2788896 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 708800 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 1570496 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 2833920 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 710080 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 2642624 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 711264 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 2756768 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 708704 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 2887200 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 706912 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 2035298944 13660672 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 2006716448 13655552 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 2015709824 13671168 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 23742624 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 132779232 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 59863232 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 15216896 0 0 0 0 0 0 0 
_1.ptx 108 : 2000000 61508544 0 0 0 0 0 0 0 
_1.ptx 109 : 2000000 23639488 0 0 0 0 0 0 0 
_1.ptx 110 : 2000000 12981888 0 0 0 0 0 0 0 
