kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3067147 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 592190 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 618037 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5562718 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5604903 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3786135 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4479580 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2663014 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 905431 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1097769 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1022986 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 893039 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1100569 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1009966 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1103788 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 890801 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1091185 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 445284 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 683299 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 510236 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 491204 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 793941 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 717888 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 303137 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 302794 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 291960 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 296390 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 288602 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 294179 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 292691 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 705368 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 708019 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 710691 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 719647 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 727780 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 723124 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 319005 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 438323 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 536577 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 130621 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 306564 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 303933 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 306064 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 299259 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 63348 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 220992 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 220125 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 223086 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 224275 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 228405 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 183970 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 183063 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 605499 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 245520 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 237860 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 244676 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 729971 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 729984 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 749905 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 767423 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 614545 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 603412 0 0 0 0 0 0 0 
