kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2107264 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2278432 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 3029056 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2850720 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2122688 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1849056 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2244224 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 3022720 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 2075232 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 2040736 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2875072 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 4895040 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2989760 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 3698272 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 3020480 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1794976 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2067264 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 502596928 5106432 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 500911360 5121536 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9865152 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 11320800 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 11250816 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 11372800 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 9017120 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 5251392 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1755776 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 5033504 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2970688 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 3005856 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2255168 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1342944 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 455424 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4589664 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5626112 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3263339 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1614974 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1415855 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1621590 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2272017 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2389657 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2767617 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2901750 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2380640 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1684044 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2768401 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2316317 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 3196067 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 2944188 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 3049956 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 2323855 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 3046951 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 3052217 0 0 0 0 0 0 0 
