kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 461536 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 430208 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 441440 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 1906528 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 415200 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 724608 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 513408 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 6220928 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 558048 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 2281632 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 458304 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 889312 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 471328 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 2053024 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 494560 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 2031104 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 491776 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 2650784 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 592928 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 2106176 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 719424 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 2204544 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 2359392 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 720288 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 2285120 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 722528 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 2363040 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 723232 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 2330656 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 720896 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 1544189056 8000000 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 1535610144 8000000 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 1540864448 8000000 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 24904736 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 142592064 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 69875872 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 15789632 0 0 0 0 0 0 0 
_1.ptx 108 : 2000000 71810336 0 0 0 0 0 0 0 
_1.ptx 109 : 2000000 24595776 0 0 0 0 0 0 0 
