kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 114888096 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 29086144 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1325056 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1338432 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13027008 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 31594624 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 40976032 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 46615904 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 21386496 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 30049344 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1295008 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1295808 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3212320 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1295648 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2394880 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 95983936 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1752064 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 67328 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 86046848 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1296512 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1669984 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1477344 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2294784 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1462112 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2274432 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1446656 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2294976 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 84153440 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1442592 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2403392 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2267744 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 117977760 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1469088 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2263680 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2265728 0 0 0 0 0 0 0 
_1.ptx 89 : 204800 1523360 0 0 0 0 0 0 0 
_1.ptx 93 : 6963200 10482953792 34144384 0 0 6963200 217600 0 0 
_1.ptx 94 : 6963200 5679193024 27852800 0 0 217600 217600 0 0 
_1.ptx 95 : 6963200 69870624 0 0 0 0 0 0 0 
_1.ptx 96 : 6963200 69801888 0 0 0 0 0 0 0 
_1.ptx 97 : 6963200 76668032 0 0 0 0 0 0 0 
_1.ptx 98 : 6963200 55945344 0 0 0 0 0 0 0 
_1.ptx 99 : 6963200 40564352 0 0 0 0 0 0 0 
_1.ptx 103 : 215296 1293696 0 0 0 0 0 0 0 
_1.ptx 125 : 4090624 28105536 0 0 0 0 0 0 0 
_1.ptx 126 : 4090624 28297536 0 0 0 0 0 0 0 
_1.ptx 127 : 4090624 55707040 0 0 0 0 0 0 0 
_1.ptx 128 : 4090624 28307840 0 0 0 0 0 0 0 
_1.ptx 129 : 4090624 48856320 0 0 0 0 0 0 0 
_1.ptx 130 : 4090624 28891040 0 0 0 0 0 0 0 
_1.ptx 131 : 4090624 51621472 0 0 0 0 0 0 0 
_1.ptx 132 : 4090624 29030400 0 0 0 0 0 0 0 
_1.ptx 133 : 4090624 53263584 0 0 0 0 0 0 0 
_1.ptx 134 : 4090624 28931456 0 0 0 0 0 0 0 
_1.ptx 135 : 4090624 47699040 0 0 0 0 0 0 0 
_1.ptx 136 : 4090624 12957472 0 0 0 0 0 0 0 
_1.ptx 137 : 4090624 35929440 0 0 0 0 0 0 0 
_1.ptx 138 : 4090624 1335648 0 0 0 0 0 0 0 
_1.ptx 139 : 3891200 12289376 0 0 0 0 0 0 0 
_1.ptx 140 : 3891200 26361856 0 0 0 0 0 0 0 
_1.ptx 141 : 3891200 33700096 0 0 0 0 0 0 0 
_1.ptx 142 : 3891200 0 0 0 0 0 0 0 0 
_1.ptx 143 : 3891200 30173920 0 0 0 0 0 0 0 
_1.ptx 144 : 3891200 12263968 0 0 0 0 0 0 0 
_1.ptx 145 : 3891200 26488576 0 0 0 0 0 0 0 
_1.ptx 146 : 3891200 33887552 0 0 0 0 0 0 0 
_1.ptx 147 : 3891200 27348096 0 0 0 0 0 0 0 
_1.ptx 148 : 3891200 27324160 0 0 0 0 0 0 0 
_1.ptx 149 : 3891200 26890688 0 0 0 0 0 0 0 
_1.ptx 150 : 3891200 27130016 0 0 0 0 0 0 0 
_1.ptx 151 : 3891200 30983360 0 0 0 0 0 0 0 
_1.ptx 154 : 19456000 0 0 0 0 0 0 0 0 
_1.ptx 155 : 19456000 159915136 0 0 0 0 0 0 0 
_1.ptx 156 : 19456000 222414720 0 0 0 0 0 0 0 
_1.ptx 157 : 19456000 161627072 0 0 0 0 0 0 0 
_1.ptx 158 : 19456000 231101920 0 0 0 0 0 0 0 
_1.ptx 159 : 19456000 166850912 0 0 0 0 0 0 0 
_1.ptx 160 : 19456000 205956832 0 0 0 0 0 0 0 
_1.ptx 161 : 19456000 232366112 0 0 0 0 0 0 0 
_1.ptx 162 : 19456000 164476256 0 0 0 0 0 0 0 
_1.ptx 163 : 19456000 146783936 0 0 0 0 0 0 0 
_1.ptx 164 : 19456000 161499776 0 0 0 0 0 0 0 
_1.ptx 168 : 661504000 5780890400 0 0 0 0 0 0 0 
_1.ptx 169 : 661504000 5016257344 0 0 0 0 0 0 0 
_1.ptx 170 : 661504000 5660436256 0 0 0 0 0 0 0 
_1.ptx 171 : 661504000 4947242656 0 0 0 0 0 0 0 
_1.ptx 172 : 661504000 5637870272 0 0 0 0 0 0 0 
_1.ptx 173 : 661504000 4911601504 0 0 0 0 0 0 0 
_1.ptx 174 : 661504000 5504846752 0 0 0 0 0 0 0 
_1.ptx 175 : 661504000 243762151072 2646016000 0 0 0 0 0 0 
_1.ptx 176 : 661504000 5466412000 0 0 0 0 0 0 0 
_1.ptx 178 : 661504000 3094981536 1408 0 0 0 0 0 0 
_1.ptx 179 : 661504000 7986113792 0 0 0 0 0 0 0 
_1.ptx 180 : 661504000 6764591360 0 0 0 0 0 0 0 
_1.ptx 181 : 661504000 7730087424 0 0 0 0 0 0 0 
_1.ptx 182 : 661504000 7682015104 0 0 0 0 0 0 0 
_1.ptx 183 : 661504000 8210266912 0 0 0 0 0 0 0 
_1.ptx 184 : 661504000 6237651360 0 0 0 0 0 0 0 
_1.ptx 185 : 661504000 4956160736 0 0 0 0 0 0 0 
_1.ptx 186 : 19456000 153208192 0 0 0 0 0 0 0 
_1.ptx 190 : 19456000 177218592 0 0 0 0 0 0 0 
_1.ptx 191 : 19456000 94299842 0 0 0 0 0 0 10162 
_1.ptx 193 : 6990785 58315765 0 0 0 0 0 0 0 
_1.ptx 195 : 6990785 60076970 0 0 0 0 0 0 0 
_1.ptx 197 : 19456000 221139872 0 0 0 0 0 0 0 
_1.ptx 198 : 19456000 177240224 0 0 0 0 0 0 0 
