kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68700 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68700 4262426 0 0 0 0 0 0 0 
_1.ptx 99 : 68700 491283 0 0 0 0 0 0 0 
_1.ptx 100 : 68700 701457 0 0 0 0 0 0 0 
_1.ptx 101 : 68700 760320 0 0 0 0 0 0 0 
_1.ptx 105 : 414952 113826779 3525760 0 0 204533 58439 0 0 
_1.ptx 106 : 414952 2936519 0 0 0 0 0 0 0 
_1.ptx 107 : 414952 4578836 0 0 0 0 0 0 0 
_1.ptx 108 : 414952 182520450 66432 0 0 413541 58439 0 0 
_1.ptx 109 : 414952 2531706 0 0 0 0 0 0 0 
_1.ptx 110 : 414952 3333698 0 0 0 0 0 0 0 
_1.ptx 111 : 414952 1416539 0 0 0 0 0 0 26654 
_1.ptx 113 : 180665 9278003 0 0 0 0 0 0 0 
_1.ptx 114 : 180665 1841250 0 0 0 0 0 0 0 
_1.ptx 115 : 180665 1996897 0 0 0 0 0 0 0 
_1.ptx 116 : 180665 25549616 19328 0 0 39948 39948 0 0 
_1.ptx 117 : 180665 1822335 0 0 0 0 0 0 0 
_1.ptx 118 : 180665 1842260 0 0 0 0 0 0 0 
_1.ptx 119 : 180665 1995910 0 0 0 0 0 0 0 
_1.ptx 120 : 180665 20708944 113984 0 0 180311 39948 0 0 
_1.ptx 122 : 180665 1099429 0 0 0 0 0 0 0 
_1.ptx 123 : 180665 1997443 0 0 0 0 0 0 0 
_1.ptx 124 : 180665 23293777 4096 0 0 180311 39948 0 0 
_1.ptx 126 : 180665 1099769 0 0 0 0 0 0 0 
_1.ptx 127 : 180665 16421367 0 0 0 0 0 0 0 
_1.ptx 128 : 180665 9836070 32 0 0 39948 39948 0 0 
_1.ptx 129 : 180665 20984689 25472 0 0 62804 39948 0 0 
_1.ptx 130 : 180665 17713675 0 0 0 62804 39948 0 0 
_1.ptx 131 : 180665 1998546 0 0 0 0 0 0 0 
_1.ptx 134 : 414952 4189844 0 0 0 0 0 0 0 
_1.ptx 135 : 414952 4186180 0 0 0 0 0 0 0 
_1.ptx 136 : 414952 3351108 0 0 0 0 0 0 0 
_1.ptx 137 : 414952 2098431 0 0 0 0 0 0 25971 
_1.ptx 141 : 589824 3733536 0 0 0 0 0 0 0 
_1.ptx 66 : 589824 3764320 0 0 0 0 0 0 0 
_1.ptx 67 : 589824 8909440 0 0 0 0 0 0 0 
_1.ptx 68 : 589824 4164992 0 0 0 0 0 0 0 
_1.ptx 69 : 589824 6967840 0 0 0 0 0 0 0 
_1.ptx 70 : 589824 9613472 128 0 0 0 0 0 0 
_1.ptx 71 : 589824 4875168 0 0 0 0 0 0 0 
_1.ptx 72 : 589824 0 0 0 0 0 0 0 0 
_1.ptx 73 : 589824 4610944 0 0 0 0 0 0 0 
_1.ptx 74 : 589824 5547168 0 0 0 0 0 0 0 
_1.ptx 75 : 589824 6567296 0 0 0 0 0 0 0 
_1.ptx 76 : 589824 121152288 105088 0 0 18432 18432 0 0 
_1.ptx 77 : 589824 3649728 0 0 0 0 0 0 0 
_1.ptx 78 : 589824 4883488 0 0 0 0 0 0 0 
_1.ptx 79 : 589824 3385405 0 0 0 0 0 0 6321 
_1.ptx 81 : 68700 422568 0 0 0 0 0 0 0 
_1.ptx 82 : 68700 3108495 0 0 0 6322 6322 0 0 
_1.ptx 84 : 68700 2776334 0 0 0 0 0 0 0 
_1.ptx 85 : 68700 423175 0 0 0 0 0 0 0 
_1.ptx 86 : 68700 763066 0 0 0 0 0 0 0 
_1.ptx 87 : 68700 3695664 64 0 0 6322 6322 0 0 
_1.ptx 89 : 68700 2971624 0 0 0 0 0 0 0 
_1.ptx 90 : 68700 700359 0 0 0 0 0 0 0 
_1.ptx 91 : 68700 763543 0 0 0 0 0 0 0 
_1.ptx 92 : 68700 38230961 1395712 0 0 11067 6322 0 0 
_1.ptx 93 : 68700 484936 0 0 0 0 0 0 0 
_1.ptx 94 : 68700 5712178 1536 0 0 11067 6322 0 0 
_1.ptx 95 : 68700 759944 0 0 0 0 0 0 0 
_1.ptx 96 : 68700 556272 0 0 0 0 0 0 0 
