kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3075012 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 590072 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 616681 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5570871 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5622050 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3796568 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4484027 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2672601 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 909921 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1100382 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1024292 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 893487 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1100692 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1007858 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1105386 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 892153 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1091735 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 441264 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 683531 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 512981 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 491897 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 793361 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 719261 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 300504 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 300953 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 294255 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 301394 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 292230 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 297439 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 287480 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 706549 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 709851 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 713353 0 0 0 0 0 0 0 
