kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2065536 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2255808 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 3014464 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2817856 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2072800 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1810240 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2218912 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 3002912 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 2028800 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 2011200 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2870720 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 4927648 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2978752 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 4282080 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 3007648 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1764064 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2052576 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 405367456 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 406182816 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9747104 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10907200 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10985952 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10995104 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8810560 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 5128128 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1710048 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 5669408 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2961440 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2975328 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2206656 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1299872 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 432064 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4495264 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5551840 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3197226 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1586353 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1415351 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1606061 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2267505 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2389135 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2794205 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2938669 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2366210 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1673057 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2798031 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2300722 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 3521261 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 3221109 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 3022308 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 2626531 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 3032994 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 3036987 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 209824 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 3085647 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 242144 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2339070 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 4727680 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 481344 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 279168 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 235808 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 5272640 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 231456 0 0 0 0 0 0 0 
_1.ptx 170 : 655360 4637952 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 281632 0 0 0 0 0 0 0 
_1.ptx 171 : 655360 5725504 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 235712 0 0 0 0 0 0 0 
_1.ptx 172 : 655360 4184704 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 235616 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 484235 0 0 0 0 0 0 256 
_1.ptx 76 : 32768 281856 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 221984 0 0 0 0 0 0 0 
_1.ptx 175 : 256 4394 0 256 256 0 0 0 0 
_1.ptx 78 : 32768 220864 0 0 0 0 0 0 0 
_1.ptx 176 : 256 2671 0 0 0 0 0 0 0 
_1.ptx 177 : 256 1985 0 0 0 0 0 0 0 
_1.ptx 178 : 256 2751 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 179 : 256 2957 0 0 0 0 0 0 0 
